,Amazon Flexible Payments Service,Amazon Payments,Google Checkout,PayPal Express
Apache OFBiz,No,Yes,Yes,Yes
Batavi (software),No,?,No,No
Bigcommerce,No,No,No,Yes
Drupal Commerce,Yes,?,Yes,Yes
Magento,Yes,free add-on,Yes,Yes
NopCommerce,Yes,Yes,Yes,Yes
OsCommerce,No,?,No,Yes
Pimcore,No,No,No,No
PrestaShop,Yes,Yes,Yes,Yes
Sana Commerce,No,No,No,Yes
Shopify,No,?,Yes,Yes
WooCommerce,No,Yes,Yes,Yes
Zen Cart,No,free add-on [36],free add-on,Yes
,Amazon FPS,Checkout by Amazon,Google Checkout,PayPal Express
