Card,Varieties,Max storage capacity (wiktionary:nominal in wiktionary:nominal),Theoretical max. capacity (wiktionary:nominal in wiktionary:nominal),Max read speed (Megabyte/s),Max write speed (MB/s),Read-write cycles,Low-level access,Operating voltage (V)[9],Controller chip[10],# of pins
CompactFlash,I,512," 128 PebibytePebibyte (134,217,728 Pebibyte) ",167[11],167[11],,Flash memory/Flash memory,3.3 and 5,Yes,50
,II,12," 128 PebibytePebibyte (134,217,728 Pebibyte) ",167[11],167[11],,,,,
SmartMedia,,128 Mebibyte (0.125 Mebibyte),,2,," 1,000,000 ",Flash memory,3.3 or 5,No,22
Multimedia Card,MMC,8,128,2,2," 1,000,000[12] ",,3.3,Yes,7
,RS-MMC,2,,2[13],2[13],,,3.3,,7
,MMCmobile,2,,15[14],8[14],,,1.8 and 3.3,,13
,MMCplus,4[15],,52[16],52[16],,,3.3,,13
,MMCmicro,2,,,,,,1.8 and 3.3,,10[17]
,eMMC,,2 Tebibyte (2048 Tebibyte),104,104,,,1.8 and 3.3,Yes,Varies
Secure DigitalSecure Digital,SD (Secure Digital Standard Capacity),512,4,25[19],25,,,3.3,Yes,9
,MiniSD,8,,25,25,,,,,11
,MicroSD,4,,25,25,,,,,8
,SDHC,32[20],32,104 (UHS-I),104 (UHS-I),,1.8 and 3.3,Yes,9
,MiniSDHC,4[21],,104 (UHS-I),104 (UHS-I),,,,11
,MicroSDHC,32[3],,104 (UHS-I),104 (UHS-I),,,,8
,SDXC,512[22],2 Tebibyte (2048 Tebibyte),104 (UHS-I),104,,2.7–3.6[23],Yes,9
,MicroSDXC,1 TiB [24],,104 (UHS-I),104 (UHS-I),,,,8
Memory Stick,Standard,128 Mebibyte (0.125 Mebibyte),128 Mebibyte (0.125 Mebibyte),2.5,1.8,,3.3,Yes,10
,PRO,4,2 Tebibyte (2048 Tebibyte),20,20,,3.3,,
,PRO Duo,32[25],,20,20,,3.3,,
,PRO-HG Duo,32[26],,30 (actual;[27]  theoretical: 60[28]),30 (actual;[27] theoretical: 60[28]),,3.3,,
,Micro (M2),16[29],32,20,20,,1.8 and 3.3,,
,xC,,2 Tebibyte (2048 Tebibyte),60,60,,3.3,,
XD-Picture Card,,512 Mebibyte (0.5 Mebibyte),512 Mebibyte (0.5 Mebibyte),5,3,,3.3,No,18
,Type M,2,8,4,2.5,,,,
,Type H,2,8,5,4,,,,
,Type M+,2,8,6,3.75,,,,
XQD,,64,2+ Tebibyte (2+ Tebibyte),168,168,,5,,
USB flash drive,Full speed (USB 1),2048Tebibyte (2 Tebibyte),No hardware limit,1,1,,5,Yes,4
,High speed (USB 2.0),,,40,40,,,,
,Super speed (USB 3.0),,,240,160,,,,
