File system, Sparse files, Block suballocation, Tail packing, Extents, Variable file block size[ci], Allocate-on-flush, Copy on write, Trim support
DECtape, No, No, No, No, No, No, No, No
BeeGFS, Yes, No, No, Yes, Yes, Yes, Yes, ?
Level-D, No, No, No, Yes, No, No, No, ?
APFS, Yes, ?, ?, Yes, ?, Yes, Yes, Yes[69][70]
Version 6 Unix file system (V6FS), Yes, No, No, No, No, No, ?, No
Version 7 Unix file system (V7FS), Yes, No, No, No, No, No, ?, No
exFAT, No, No, No, Partial (only if the file fits into one contiguous block range), No, No, No, Yes
FAT12, Partial (only inside of compressed volumes)[71], Partial (only inside of Stacker 3/4 and DriveSpace 3 compressed volumes[47]), No, Partial (only inside of compressed volumes)[72], No, No, No, Yes (Linux)
FAT16 / FAT16B / FAT16X, Partial (only inside of compressed volumes)[71], Partial (only inside of Stacker 3/4 and DriveSpace 3 compressed volumes[47]), No, Partial (only inside of compressed volumes)[72], No, No, No, Yes (Linux)
FAT32 / FAT32X, No, No, No, No, No, No, No, Yes (Linux)
GFS, Yes, No, Partial[cj], No, No, No, ?, Yes
HPFS, No, No, No, Yes, No, No, ?, No
NTFS, Yes, Partial, No, Yes, No, No, ?, Yes (NT 6.1 + newer)
HFS Plus, No, No, No, Yes, No, No, ?, Yes (macOS)
FFS, Yes, 8:1[ck], No, No, No, No, ?, No
UFS1, Yes, 8:1[ck], No, No, No, No, ?, No
UFS2, Yes, 8:1[ck], No, No, Yes, No, ?, Yes[73][74]
LFS, Yes, 8:1[ck], No, No, No, No, Yes, ?
ext, Yes, No, No, No, No, No, No, No
Xiafs, Yes, No, No, No, No, No, ?, ?
ext2, Yes, No[cl], No, No, No, No, No, Yes
ext3, Yes, No[cl], No, No, No, No, No, Yes
ext4, Yes, No[cl], No, Yes, No, Yes, No, Yes
NOVA, Yes, No, No, Yes, No, No, Yes, ?
F2FS, Yes, No, No, Partial[cm], No, Yes, Yes, Yes[75]
Lustre, Yes, No, No, Yes, No, Yes, ?, ?
NILFS, Yes, No, No, No, No, Yes, Yes, ?
ReiserFS, Yes, Yes[cn], Yes, No, No, No, ?, ?
Reiser4, Yes, Yes[cn], Yes, Yes[co], No, Yes, ?, ?
OCFS, ?, No, No, Yes, No, No, ?, ?
OCFS2, Yes, No, No, Yes, No, No, ?, ?
XFS, Yes, No, No, Yes, No, Yes, Yes on request[76], Yes (Linux)
JFS, Yes, Yes, No, Yes, No, No, ?, Yes (Linux)
QFS, ?, Yes, No, No, No, No, ?, ?
BFS, ?, No, No, Yes, No, No, ?, Yes (Haiku)
NSS, ?, No, No, Yes, No, Yes, ?, ?
NWFS, ?, Yes[cp], No, No, No, No, ?, ?
ODS-5, ?, No, No, Yes, No, No, ?, ?
VxFS, Yes, ?, No, Yes, No, No, ?, ?
UDF, Yes, No, No, Yes, No, ?[cq], Yes for write once read many media, No
Fossil, ?, No, No, No, No, No, ?, ?
ZFS, Yes, Yes, No, No, Yes, Yes, Yes, Yes (FreeBSD illumos)
Btrfs, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes
VMFS2, Yes, Yes, No, No, No, No, ?, ?
VMFS3, Yes, Yes, No, No, No, No, ?, ?
ReFS, Yes, ?, ?, ?, No, ?, Yes, ?
ISO 9660, No, No, No, Yes[cr], No, No, No, No
Rock Ridge, No, No, No, Yes[cr], No, No, No, No
Joliet ("CDFS"), No, No, No, Yes[cr], No, No, No, No
SquashFS, Yes, No, Yes, No, No, No, No, No
File system, Sparse files, Block suballocation, Tail packing, Extents, Variable file block size[ci], Allocate-on-flush, Copy on write, Trim support
