Kernel (computer science),Hewlett-Packard,,,SoftBank Group/SoftBank Group,,Intel,,,,MIPS Technologies,,IBM,,,,Renesas Technology,,,,,,,Oracle Corporation,,,NXP Semiconductors,,Analog Devices,Xilinx,Cadence Design Systems,,Canon Inc./Canon Inc.,Socionext,,Microchip Technology/ Microchip Technology,CML Microcircuits/ CML Microcircuits,Intel/Altera,,,Western Design Center,Sunplus Technology,Mellanox Technologies,Texas Instruments
,VAX,DEC Alpha,PA-RISC family,ARM architecture,,X86 architecture,,I960,IA-64,MIPS architecture,,PowerPC,,System/390,Z/Architecture,H8300,M16C,M32R,78K,V850,SuperH,,SPARC,,,M68k,,Blackfin (no-mmu),MicroBlaze,Xtensa,,ETRAX CRIS,FR-V,MN10300,AVR32,E1 (no-mmu),Nios embedded processor (no-mmu),Nios II,,WDC 65C816,S+core,Tilera,Texas Instruments TMS320C6000
,,,,mmu,no-mmu,x86,x86-64,,,mmu,no-mmu,32-bit,64-bit,,,,,,,,mmu,no-mmu,32-bit,64-bit,no-mmu,mmu,no-mmu,,,mmu,no-mmu,,,,,,,mmu,no-mmu,,,,
DragonFly BSD,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
FreeBSD,No,No,No,Yes,?,Yes,Yes,?,Yes,Yes,No,Yes,Yes,No,No,?,?,?,?,?,No,No,No,Yes,?,No,No,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Linux kernel,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,?,Yes,Yes,Yes,Yes,Yes,No,4.16 and below only[34],No,2.6 and below only,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.16 and below only[34],Yes,Yes,Yes,4.16 and below only[34],4.16 and below only[34],4.16 and below only[34],4.12 and below only,No,No,Yes,Yes,No,4.16 and below only[34],4.16 and below only[34],Yes
MINIX 3,?,No,No,Yes,?,Yes,In progress,No,No,In progress,?,No,No,No,No,No,?,No,?,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
NetBSD,Yes,Yes,Yes,Yes,No[35],Yes,Yes,?,Yes,Yes,No[35],Yes,No,No,No,?,?,?,?,?,Yes,No[35],Yes,Yes,No[35],Yes,No[35],?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Novell NetWare,No,No,No,No,No,Yes,No,?,No,No,No,No,No,No,No,?,?,?,?,?,No,No,No,No,No,No,No,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
OpenBSD,No,Yes,Yes,Yes,?,Yes,Yes,?,No,Yes,?,Yes,No,No,No,?,?,?,?,?,Yes,?,Yes,Yes,?,Yes,Yes,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Rockbox,?,?,?,Yes,?,?,?,?,?,Yes,?,?,?,?,No,?,?,?,?,?,Yes,?,?,?,?,Yes,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Solaris (operating system),No,No,No,No,No,Yes,Yes,?,No,No,No,No,No,No,No,?,?,?,?,?,No,No,Yes,Yes,?,No,No,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Architecture of Windows NT,No,NT 5.0 RC1 and below only,No,Yes,No,Yes,Yes,No,Windows XP editions and Windows XP editions-Windows XP editions only,Windows NT 4.0 and below only,No,Windows NT 3.51 and Windows NT 3.51 only,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Windows CE,No,No,No,Yes,?,Yes,?,No,No,Yes,?,No,No,No,No,No,?,No,?,No,Yes,?,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
XNU,No,No,No,Yes,?,Yes,Yes,?,No,No,No,Yes,Yes,No,No,?,?,?,?,?,No,No,No,No,No,No,No,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
HelenOS,?,No,No,Yes,?,Yes,Yes,?,Yes,Yes,?,Yes,No,No,No,?,?,?,?,?,No,No,Yes,Yes,?,No,No,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
FreeRTOS,?,?,?,?,Yes[36],?,?,?,?,?,?,Yes[36],?,?,No,Yes[36],?,?,Yes[36],Yes[36],?,Yes[36],?,?,?,?,?,Yes[36],Yes[36],?,?,?,?,?,Yes[36],?,?,?,Yes[36],?,?,?,?
