Engine,Origin,Designer,Spacecraft,Status,Multistage rocket,Rocket propellant,Specific impulse (s)Specific impulse,Thrust (N)Thrust,Mass (kg),Thrust-to-weight ratioThrust-to-weight ratio,Combustion chamber pressure (bar),Oxidiser:​fuel ratio
Relativity Space,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Relativity Space,Terran 1,Development,1st,Liquid methane / Liquid methane,310," 86,740 (SL)[1] ",,,,
Relativity Space,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Relativity Space,Terran 1,Development,2nd,Liquid methane / Liquid methane,360," 100,085 (SL)[1] ",,,,
AJ-10,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Aerojet,Space Shuttle Space Shuttle,Active,Upper,Dinitrogen tetroxide/Dinitrogen tetroxide,316[2]," 26,689[2] ",118[2],23.08,8.62[2],
AJ-60A,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Aerojet,Atlas V,Active,Solid rocket booster,HTPB,275," 1,270,000[3] ",,,,
AR1 (rocket engine),//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Aerojet Rocketdyne,Firefly Aerospace (potential)Firefly Aerospace,Development,1st,RP-1 / RP-1,," 2,200,000 (SL)[5] ",,,,2.72
BE-3,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Blue Origin,New Shepard,Active,1st,Liquid hydrogen / Liquid hydrogen,," 490,000[6] ",,,,
BE-3U,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Blue Origin,New Glenn,Development,2nd,Liquid hydrogen / Liquid hydrogen,," 710,000[6] ",,,,
BE-4,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Blue Origin,New Glenn New Glenn,Development,1st,Liquid methane / Liquid methane,," 2,400,000[7][8] ",,,134[9],
CE-20,//upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png India,Liquid Propulsion Systems Centre,Geosynchronous Satellite Launch Vehicle Mark III,Active,Upper,Liquid hydrogen / Liquid hydrogen,443," 200,000 ",588,34.7,60.00,5.05
CE-7.5,//upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png India,Liquid Propulsion Systems Centre,GSLV,Active,Upper,Liquid hydrogen / Liquid hydrogen,454[10]," 73,500 ",445,16.85,58,
Engine-2 (page does not exist),//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Launcher Space (page does not exist),Rocket-1 (page does not exist),Development,1st,RP-1 / RP-1,327[11]   290 (SL)," 100,000[11] ",,,,2.62
Engine-2 (page does not exist),//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Launcher Space (page does not exist),Rocket-1 (page does not exist),Development,2nd,RP-1 / RP-1,365[11]," 100,000[11] ",,,,2.62
Graphite-Epoxy Motor,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Northrop Grumman,Atlas V,Development,Solid rocket booster,HTPB,," 1,662,745[12] "," 44,225 ",,,
Graphite-Epoxy Motor,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Northrop Grumman,Vulcan (rocket),Development,Solid rocket booster,HTPB,," 2,025,720[12] "," 47,990 ",,,
Hadley (rocket engine) (page does not exist),//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Ursa Major Technologies (page does not exist),GOLauncher 1 (page does not exist)GOLauncher 1 (page does not exist),Development,1st,RP-1 / RP-1,," 22,241 (SL)[14] ",,,,
HM-7B,//upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Flag_of_Europe.svg/23px-Flag_of_Europe.svg.png Europe,Snecma,Ariane 2 Ariane 2 Ariane 2 Ariane 2,Active,Upper,Liquid hydrogen / Liquid hydrogen,446[15]   310 (SL)[16]," 64,800[15]   43,600 (SL)[16] ",165[15],43.25,37[15],5
LE-5,//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,Mitsubishi Heavy Industries Mitsubishi Heavy Industries,H-IIA H-IIA,Active,Upper,Liquid hydrogen / Liquid hydrogen,447[17]," 137,000 ",269,51.93,36.0,5
LE-7,//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,Mitsubishi Heavy Industries Mitsubishi Heavy Industries,H-IIA H-IIA,Active,1st,Liquid hydrogen / Liquid hydrogen,438[18]   338 (SL)[18]," 1,098,000 870,000 (SL) "," 1,800 ",62.2,121,5.9
Firefly Alpha,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Firefly Aerospace,Firefly Alpha,Development,2nd,RP-1 / RP-1,322[19]," 70,100[19] ",,,,
Merlin (rocket engine),//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,SpaceX,Falcon 9 Block 5 Falcon 9 Block 5,Active,1st,RP-1 / RP-1,311," 914,000[20]   845,000 (SL)[20] ",470,194.5[20],,
Merlin (rocket engine),//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,SpaceX,Falcon 9 Block 5 Falcon 9 Block 5,Active,2nd,RP-1 / RP-1,348[21]," 981,000[22] ",,,,2.36
