Model,Code Name,Release Date,CPU Socket,Processors Supported,Fabrication process (Nanometer),FSB/HT Frequency (MHz),PCI-Express,SLI,PCI,USB,PATA,SATA,LAN,Sound,Features
GeForce 8100,MCP78,2008,Socket AM2+,Athlon 64  Athlon 64  Athlon 64  Athlon 64 Athlon 64  Athlon 64  Athlon 64,,HT 3.0 2.6 GHz,2.0 19 lanes,No,5 Ports,12 Ports Rev 2.0,1 Ports UDMA 133,6 Ports 3.0Gbit/s,1000 Mbit/s,HDA,List of Nvidia graphics processing units
GeForce 8200,,2008,,,,,,,,,,,,,List of Nvidia graphics processing units
GeForce 8300,,2008,,,,,,,,,,,,,List of Nvidia graphics processing units
