Model,Code name,Fab (Nanometer),Computer bus Computer bus,Core clock (Hertz),Shader clock (Hertz),Memory clock (Hertz),Core config1,Fillrate,,Memory,,,,Processing power (GFLOPS)GFLOPSGFLOPS,,Supported Application programming interface version,,Thermal design power (Watts),Notes
,,,,,,,,Pixel (Pixel/s),Texture (Texel (graphics)/s),Size (Megabyte),Bandwidth (Gigabyte/s),Bus type,Bus width (Bit),Single precision floating-point format,Double precision floating-point format,Direct3D,OpenGL,,
Quadro FX 540,NV43GL,90,PCIe ×16,300,300,550,4:8:8:8,2.4,2.4,128,8.8,GDDR3,128,,,9.0c,2.1,35,
Quadro FX 1400,NV41,130,,350,350,600,5:12:12:8,2.8,4.2,,19.2,DDR,256,75,,,," Stereo display, Scalable Link Interface "
Quadro FX 3400,NV45GL/ NV40,,,,,900,6:16:16:16,5.6,5.6,256,28.8,GDDR3,,101,,,,
Quadro FX 3450,NV41,110,425,425,1000,5:12:12:12,5.1,5.1,32.0,,83,,,,,
Quadro FX 4400,NV45GL A3/ NV40,130,400,400,1050,6:16:16:16,6.4,6.4,512,33.7,110,,,,,
