John McCain,,Barack Obama,
Members of the McCain camp have pointed out that George Bush signed a federal directive in 2001 that outlawed Racial profiling and ordered the Attorney General to look into the matter.Racial profiling,," Obama wants to eliminate Racial profiling by federal law enforcement agencies.Racial profiling As state senator in Illinois, Obama helped bring about passage of the state’s first racial-profiling law.Racial profiling In October 2007, he asked Attorney General-Designate, Judge Michael Mukasey, to end the practice.Racial profiling ",
Chuck Baldwin,Bob Barr,Cynthia McKinney,Ralph Nader
,," McKinney supports comprehensive federal investment in low-come families and communities, with an emphasis on people of color, to eliminate racial and other disparities in education, healthcare, imprisonment, family income, wealth, home ownership. She supports a moratorium on foreclosures, and end to the privatization of prisons. Hurricanes Katrina and Rita survivors should be recognized as Internally Displaced Persons (IDPs); she supports protecting their right of return, including their right to vote in their home states, and reparations for the losses they incurred due to government abandonment and negligence. She calls for an end to the ""War on Drugs,"" which justifies foreign military intervention and assaults civil liberties; mandatory minimum drug sentences should be ended, and the budget should focus on treatment and prevention.[25] ",
