Resort name and website, Nearest city, State/province, Peak elevation (ft), Base elevation (ft), Vertical drop (ft), Skiable acreage, Total trails, Total lifts, Avg annual snowfall (in), Adult weekend lift ticket window price (USD), Date statistics updated
Tenney Mountain Resort, Plymouth, New Hampshire, 2149, 749, 1400, 110, 45, 3, 140, $59, December 8 2019[303]
Waterville Valley Resort, Waterville Valley, New Hampshire, 3840, 1820, 2020, 220, 50, 11, 150, $69, December 8 2019[304]
Whaleback Mountain, Enfield, New Hampshire, 1800, 1100, 700, 85, 30, 4, 110, $45, December 8 2019[305]
Wildcat Mountain, Jackson, New Hampshire, 4062, 1950, 2112, 225, 48, 5, 207, $120, December 8 2019[306]
Bear Creek Mountain Resort, Allentown, Pennsylvania, 1100, 590, 510, 86, 21, 7, 30, $60, December 9 2019[307]
Blue Knob All Seasons Resort, Claysburg, Pennsylvania, 3146, 2074, 1072, 100, 34, 6, 120, $70, December 9 2019[308]
Blue Mountain Ski Area, Palmerton, Pennsylvania, 1540, 458, 1082, 164, 39, 13, 33, $70, December 9 2019[309]
Boyce Park Four Seasons Lodge, Plum, Pennsylvania, 1245, 1115, 130, 25, 9, 5, , $28, December 9 2019[310]
Camelback Mountain Resort, Scranton, Pennsylvania, 2130, 1330, 800, 166, 35, 16, 50, $78, December 9 2019[311]
Elk Mountain Ski Resort, Scranton, Pennsylvania, 2667, 1742, 925, 180, 27, 7, 60, $69, December 9 2019[312]
Hidden Valley Resort, Hidden Valley, Pennsylvania, 2875, 2405, 470, 110, 26, 11, 140, $61, December 9 2019[313]
Jack Frost - Big Boulder Ski Area, White Haven, Pennsylvania, 2000, 1400, 600, 145, 35, 22, 50, $68, December 9 2019[314]
Laurel Mountain Ski Resort, Ligonier, Pennsylvania, 2800, 2000, 800, 70, 20, 2, , $58, December 9 2019[315]
Liberty Mountain Resort, Gettysburg, Pennsylvania, 1190, 570, 620, 100, 22, 9, 31, $105, December 9 2019[316]
Mount Pleasant of Edinboro, Edinboro, Pennsylvania, 1550, 1200, 350, 35, 10, 2, 150, $33, December 9 2019[317]
Seven Springs Mountain Resort, Seven Springs, Pennsylvania, 2994, 2240, 750, 285, 40, 14, 150, $76, December 9 2019[318]
Shawnee Mountain Ski Area, East Stroudsburg, Pennsylvania, 1351, 700, 651, 125, 23, 9, 50, $68, December 9 2019[319]
Ski Big Bear, Lackawaxen, Pennsylvania, 1250, 600, 650, 26, 18, 7, 69, $64, December 9 2019[320]
Denton Hill State Park, Ulysses, Pennsylvania, 2460, 1800, 660, , , 5, , Closed Temporarily, December 9 2019[321]
Roundtop Mountain Resort, Lewisberry, Pennsylvania, 1335, 755, 600, 103, 20, 7, 30, $73, December 9 2019[322]
Spring Mountain Adventure, Schwenksville, Pennsylvania, 528, 78, 450, 45, 9, 6, 20, $48, December 9 2019[323]
Ski Sawmill Resort, Morris, Pennsylvania, 2215, 1700, 515, 15, 14, 5, 24, $48, December 9 2019[324]
Montage Mountain Resorts, Scranton, Pennsylvania, 1960, 960, 1000, 140, 26, 9, 60, $58, December 9 2019[325]
Tussey Mountain Ski and Recreation, State College, Pennsylvania, 1750, 1230, 520, 38, 7, 3, 41, $62, December 9 2019[326]
Whitetail Resort, Clear Spring, Pennsylvania, 1800, 865, 935, 109, 25, 9, 40, $64, December 9 2019[327]
Alpine Valley Resort, Elkhorn, Wisconsin, 1040, 820, 220, 90, 20, 12, 80, $53, December 9 2019[328]
Bruce Mound Winter Sports Area, Merrillan, Wisconsin, 1375, 1000, 375, 40, 12, 5, 42, $26, December 9 2019[329]
Camp 10 Ski Area, Rhinelander, Wisconsin, 1740, 1510, 230, , 15, 4, , $38, December 9 2019[330]
Cascade Mountain, Portage, Wisconsin, 1270, 820, 450, 175, 47, 11, 56, $66, December 9 2019[331]
Christie Mountain, Bruce, Wisconsin, 1650, 1300, 350, 45, 30, 5, 48, $40, December 9 2019[332]
Christmas Mountain, Wisconsin Dells, Wisconsin, 1250, 1000, 250, 40, 16, 3, 20, $45, December 9 2019[333]
The Rock Snowpark, Milwaukee, Wisconsin, 925, 700, 225, 75, 10, 5, , $36, December 9 2019[334]
Devil's Head Resort, Baraboo, Wisconsin, 1420, 930, 490, 268, 28, 10, 55, $66, December 9 2019[335]
Granite Peak Ski Area, Wausau, Wisconsin, 1950, 1250, 700, 220, 75, 7, 75, $49, December 9 2019[336]
Kettlebowl Ski Area, Antigo, Wisconsin, 1780, 1455, 325, , 7, 5, , $5, December 9 2019[337]
