Client, Creator, Software license, Latest release
BookmarkSync, Jack Dean, Proprietary, Windows: 3.0.0 (August 2010; 10 years ago (2010-08)) [±] Mac OS X: 1.0.4 (September 14 2005; 15 years ago (2005-09-14)) [±] BookmarkSync was discontinued some time around 2006.
Opera, Opera Software, Proprietary, Opera: 71.0.3770.171 (23 September 2020; 8 days ago (2020-09-23)[1]) Opera Mini:
Android, 50.0.2254.149182 / 30 May 2020; 4 months ago (2020-05-30)[2]
iOS, 16.0.14 / 4 October 2018; 23 months ago (2018-10-04)[3]
Windows Mobile 10 and Phone 8.1, 9.1.0.232 / 16 June 2016; 4 years ago (2016-06-16)[4]
BlackBerry, 8.0.1 / 10 July 2014; 6 years ago (2014-07-10)[5]
Symbian, 7.1.32453 / 6 December 2016; 3 years ago (2016-12-06)[6]
Java ME, 8.0 / 12 March 2014; 6 years ago (2014-03-12)[7]
