File system,Maximum Filename length,Allowable characters in directory entries[c],Maximum pathname length,Maximum file size,Maximum volume size[d],Max number of files
BeeGFS,255 bytes,Any byte except NUL[e],No limit defined[f],16 Exbibyte,16 Exbibyte,?
CP/M file system,8.3," ASCII except for < > . , ; : = ? * [ ] ",No directory hierarchy (but accessibility of files depends on user areas via USER command since CP/M 2.2),32 MiB,512 MiB,?
IBM SFS,8.8,?,?,Non-hierarchical[8],?,?
DECtape,6.3," A–Z, 0–9 ",DTxN:FILNAM.EXT = 15," 369,280 bytes (577 * 640) "," 369,920 bytes (578 * 640) ",?
Elektronika BK tape format,16 bytes,?,No directory hierarchy,64 KiB,Not limited. Approx. 800KB (one side) for 90 min cassette,?
MicroDOS file system,14 bytes,?,?,16 MiB,32 MiB,?
Level-D,6.3," A–Z, 0–9 "," DEVICE:FILNAM.EXT[PROJCT,PROGRM] = 7 + 10 + 15 = 32; + 5*7 for SFDs = 67 "," 34,359,738,368 words (2**35-1); 206,158,430,208 SIXBIT bytes ",Approx 12 GB (64 * 178 MB),?
RT-11,6.3," A–Z, 0–9, $ ",0 (no directory hierarchy)," 33,554,432 bytes (65536 * 512) "," 33,554,432 bytes ",?
Version 6 Unix file system (V6FS),14 bytes,Any byte except Null character and /Null character,No limit defined[f],16 MebibyteMebibyte,32 Mebibyte,?
Disk Operating System (GEC DOS),?,?,?," ? at least 131,072 bytes ",?,?
GEC DOS filing system extended,8 bytes," A–Z, 0–9. Period was directory separator ",? No limit defined (workaround for OS limit)," ? at least 131,072 bytes ",?,?
CBM DOS,16 bytes,Any byte except NUL,0 (no directory hierarchy),16 Mebibyte,16 Mebibyte,?
Version 7 Unix file system (V7FS),14 bytes,Any byte except NUL or /[e],No limit defined[f],1 GibibyteGibibyte,2 Tebibyte,?
ExFAT,255 UTF-16 characters,?," 32,760 Unicode characters with each path component no more than 255 characters[11] ",16 ExbibyteExbibyte,64 Zebibyte (276 bytes),?
FAT (8-bit),6.3 filename (binary files) / 9 characters (ASCII files),ASCII (0x00 and 0xFF not allowed in first character),No directory hierarchy,?,?,?
FAT12/FAT12,8.3 filename (255 8.3 filename characters with LFN)8.3 filename," SFN: OEM code page A-Z, 0-9, ! # $ % &amp; ' ( ) - @ ^ _ ` { } ~, 0x80-0xFF, 0x20. LFN: OEM code page except NUL, "" * / : < > ? \ | OEM code pageOEM code page ",No limit defined[f],32 Mebibyte (4 Mebibyte)Mebibyte,1 Mebibyte to 32 Mebibyte,?
FAT16B/FAT16B,8.3 filename (255 8.3 filename characters with LFN)8.3 filename," SFN: OEM code page A-Z, 0-9, ! # $ % &amp; ' ( ) - @ ^ _ ` { } ~, 0x80-0xFF, 0x20. LFN: OEM code page except NUL, "" * / : < > ? \ | OEM code pageOEM code pageOEM code page ",No limit defined[f],2 (4) GibibyteGibibyte,16 Mebibyte to 2 (4) Mebibyte,?
FAT32/FAT32,8.3 filename (255 8.3 filename characters with LFN)8.3 filename," SFN: OEM code page A-Z, 0-9, ! # $ % &amp; ' ( ) - @ ^ _ ` { } ~, 0x80-0xFF, 0x20. LFN: OEM code page except NUL, "" * / : < > ? \ | OEM code pageOEM code pageOEM code page "," 32,760 Unicode characters with each path component no more than 255 characters[11] ",4 GibibyteGibibyte,512 Mebibyte to 16 MebibyteMebibyte,?
FATX,42 bytes[i],ASCII. Unicode not permitted.,No limit defined[f],2 Gibibyte,16 Mebibyte to 2 Mebibyte,?
Fossil (file system),?,?,?,?,?,?
GEMDOS,8.3," A-Z, a-z, 0-9 ! @ # $ % ^ &amp; ( ) + - = ~ ` ; ' "" , < > | [ ] ( ) _[13] ",?,?,?,?
APFS,255 UTF-8 characters,Unicode 9.0 encoded in Unicode 9.0 Unicode 9.0,?,8 Exbibyte,?,263 [15]
F2FS,255 bytes," Any byte except NUL, /[e] ",No limit defined[f],3.94 Tebibyte,16 Tebibyte,?
Macintosh File System,255 bytes,Any byte except :,No path (flat filesystem),256 Mebibyte,256 Mebibyte,?
Hierarchical File System,31 bytes,Any byte except :,Unlimited,2 Gibibyte,2 Tebibyte,?
High Performance File System,255 bytes,Any byte except NUL[l],No limit defined[f],2 Gibibyte,2 TebibyteTebibyte,?
