Country,Uncrewed rendezvous,,crewed rendezvous,
,Spacecraft involved,Year,Spacecraft involved,Year
//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,ETS-VII,1997,,
//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,Shenzhou 8 &amp; Shenzhou 8,2011,Shenzhou 9 &amp; Shenzhou 9,2012
//upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png India,SPADEX,2020 (Planned),,
