Meaning and description,Spanish,Portuguese
'yes',sí,sim   [sĩ ]
" 'himself' / 'herself' / 'itself' / 'themselves'   (stressed Reflexive pronoun, object of preposition)",,se
'if' (conjunction),si,se
" /'oneself"" /'yourself"" / 'itself' / 'themselves'   (unstressed Reflexive pronoun)",se,
