Word, Danish meaning, Norwegian meaning, Swedish meaning
grine, laugh, cry (both words cognates with English "grin"), (grina) to weep (colloquial)
kuk, mess problem, penis (vulgar), penis (vulgar)
bolle, sexual intercourse / bun, bun (however can be used for sexual intercourse in some areas), (bulle) bun
rask, healthy / fast, fast (adj.) or litter (garbage), fast
svær, difficult / obese, large, (svår) difficult
kneppe, to fuck, to button / unbutton, to button
flink, nice, skilled clever, 
rar, kind nice, strange weird, kind (dated)
