Name,Vendor,License,Database transaction,Under active development
MySQL Archive,Oracle,GPL,No,Yes
Aria (storage engine),MariaDB,GPL,No,Yes
Berkeley DB,Oracle,Affero General Public License,?,No
Comma-separated values,Oracle,GPL,No,Yes
Falcon (storage engine),Oracle,GPL,Yes,No
MySQL Federated,Oracle,GPL,?,No
InfiniDB,Calpont,GPL,Yes,Yes
InnoDB,Oracle,GPL,Yes,Yes
MyISAM,Oracle,GPL,No,No
MyRocks,Facebook,GPLv2,Yes,Yes
MySQL Cluster,Oracle,GPLv2,Yes,Yes
TokuDB,TokuTek,Modified GPL,Yes,Yes
XtraDB,Percona,GPL,Yes,Yes
