Server,Creator,Cost (United States dollar),Public source code,Software license
BIND,Internet Systems Consortium,Free,Yes," BSD license, BSD license for 9.11+ "
Microsoft DNS,Microsoft,Included with Windows Server,No,Clickwrap
Djbdns,Daniel J. Bernstein,Free,Yes,Public domain
Dnsmasq,Simon Kelley,Free,Yes,GNU General Public License
Simple DNS Plus,JH Software,$79 – $379,No,Clickwrap
NSD,NLnet Labs,Free,Yes,BSD licenses variant
Knot DNS,CZ.NIC,Free,Yes,GNU General Public License
Knot Resolver (page does not exist),CZ.NIC,Free,Yes,GNU General Public License
PowerDNS,PowerDNS.COM BV / Bert Hubert,Free,Yes,GNU General Public License
MaraDNS,Sam Trenholme,Free,Yes,BSD licenses variant
Pdnsd,Thomas Moestl and Paul Rombouts,Free,Yes,GNU General Public License
Posadis,Meilof Veeningen,Free,Yes,GNU General Public License
Unbound (DNS Server),NLnet Labs,Free,Yes,BSD license
YADIFA,EURid,Free,Yes,BSD license
Secure64 DNS,Secure64,Unpublished price,No,Clickwrap
Secure64 DNS,Secure64,Unpublished price,No,Clickwrap
