Format,Full name,Owner,Based Format,File extension,MIME type,Application,Patented
Abc,Advanced Bitonal Compression,LEAD Technologies,,.abc,,Bitonal document and check images.[1],Yes
ADRG,ARC Digitized Raster Graphics,,,.adrg,,,
AdobeResource,,Adobe Systems,TIFF?,,,,
ADRI,ARC Digitized Raster Images,,,.adri,,,
AF Design,Affinity Designer,Serif Europe,,.afdesign,,Vector graphics document for Affinity Designer. Can also be opened by Affinity Designer.,
AF Photo,Affinity Photo,Serif Europe,,.afphoto,,Raster graphics document for Affinity Photo. Can also be opened by Affinity Photo.,
Adobe Illustrator Artwork,Adobe Illustrator Document,Adobe Systems,,.ai," application/illustrator, application/postscript "," Adobe Illustrator files are editable using programs that support the format, such as Adobe Illustrator, Inkscape, CorelDRAW, etc. ",Yes
Alias Pix image,,,," .pix, .matte, .mask, .alpha, .als ",,Supported by GIMP,
AMI,,,,.ami,,Supported by Amica Paint,
ANI (file format),ANI file format,Microsoft,Resource Interchange File Format,.ani,,Used by Microsoft Windows,
ANIM,,Electronic Arts and Electronic Arts,Interchange File Format," .iff, .anim ",video/x-anim,,
APNG,Animated Portable Network Graphics,Mozilla,Portable Network Graphics,.png,image/png,Gecko (layout engine) and Gecko (layout engine),No
Apple Icon Image,,Apple Inc.,,.icns,,Used by MacOS,
APX,,,,.apx,,Supported by Ebuyer Photo Paint,
ART image file format,,AOL,,.art,,,
ART,PFS: 1st Publisher clip art,,,.art,,,
ARTB,Artboard file format," Mapdiva, LLC ",,.artb,," Vector image format; Artboard drawing files are editable using programs that support the format, such as Artboard and Ortelius ",
ASCII art,,,," .txt, .ansi, .text ",text/vnd.ascii-art,Supported by GIMP,
Authorware map,,Adobe Systems,,.aam,application/x-authorware-map,,
Authorware seg,,Adobe Systems,,.aas,application/x-authorware-seg,,
Authorware bin,,Adobe Systems,," .aab, .x32, .u32, .vox ",application/x-authorware-bin,,
AutoCAD DXF,Drawing Interchange Format,Autodesk,,.dxf,image/vnd.dxf,,
AWD,,,,.awd,image/awd,Used by PhotoPhilia,
Raw image format,Sony Alpha RAW,Sony,TIFF,.arw,,,
Raw image format,Casio RAW,Casio,,.bay,,,
BigTIFF,,,TIFF," .btf, .tiff, .tif ",image/tiff,,
BMP file format,raw-data unencoded or encoded bitmap," simple colour image format, far older than Microsoft; some .bmp encoding formats developed/owned by Microsoft ",," .bmp, .dib, .rle, .2bp (2bpp) ",image/x-bmp,Used by many 2D applications.,No
bmp compressor,Bit Map Compressor,,,.hpc,,,
BLEND," resource archive (3D meshes, textures, auxiliary data) ",,,.blend,,native data package format of Blender (software),
Better Portable Graphics,Better Portable Graphics,Fabrice Bellard,HEVC,.bpg,," Suggestion to replace JPEG, JPEG decoder availableJPEG ",Yes
BRK,Brooktrout Fax,,,.brk,,,
BSAVE (graphics image format),BSAVE Image,,,.BSV,,Used by IBM PC.,
CAM,Casio CAM,Casio,JPEG,.cam,,,
CADRG,Compressed ARC Digitized Raster Graphics,,,.cadrg,,,
CALS Raster file format,CALS raster file format,,," .cal, .cals, .ras, .dcl ",,,
Capture One RAW,,Phase One (company),,.cap,,,
Camera Image File Format,Camera Image File Format,Canon (company),," .crw, .ciff ",,,
Raw image format,Canon RAW 2,Canon (company),TIFF,.cr2,,,
CorelDRAW,CorelDRAW Document,Corel Corporation,," .cdr, .ccx, .cdt, .cmx ",application/coreldraw," CorelDRAW files are editable using programs that support the format, such as CorelDRAW, Adobe Illustrator, Inkscape, etc. ",Yes
