,,Trident (software),EdgeHTML,Gecko (software),WebKit,Blink (browser engine),KHTMLKHTML,Presto (layout engine)
JPEG,,3.0,Yes,1.0,85,Yes,Yes,1.0
JPEG 2000,,No,No,No[2],Dropped[n 2],No,No,No
JPEG XR,,5.0[4],Yes,No[5],No,No,No,No
GIF,GIF 89a,3.0,Yes,1.0,85,Yes,Yes,1.0
,GIF 87a,,,,,,,
Portable Network Graphics,1.2,3.1,Yes,1.0,85,Yes,Yes,1.0
,1.1,,,,,,,
,1.0,,,,,,,
APNG,,No,No,3.0,528,59.0,No,9.5
BMP file format,,Yes,Yes,Yes,Yes,Yes,Yes,1.0
ICO (file format),,Yes,Yes,Yes,Yes,Yes,Yes,1.0
TIFF,,5.0[4],Yes,No[6],No,No,Yes[7],No
WebP,,No,17 [8],Experimental[9],534.10[10],Yes[11],No,2.8.131[12]
