Country,Name,Initialisms/Acronym,Founded,Terminated,Capabilities of the space agency,,,,Remarks
,,,,,Astronauts,Operates Satellites,Sounding Rockets capable,Recoverable Biological Sounding Rockets capable,
//upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Flag_of_Bangladesh.svg/23px-Flag_of_Bangladesh.svg.png Bangladesh,Space Research and Remote Sensing Organization,SPARRSO,1980,—,No,No,No,No,[4]
//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,China National Space Administration (China National Space Administration: 国家航天局),CNSA,22 April 1993,—,Yes,Yes,Yes,Yes,[5]
//upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png India,Indian Space Research Organisation (Indian Space Research Organisation: भारतीय अंतरिक्ष अनुसंधान संगठन),ISRO इसरो,15 August 1969,—,Yes,Yes,Yes,Yes,[6][7][8]
//upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Flag_of_Indonesia.svg/23px-Flag_of_Indonesia.svg.png Indonesia,Indonesian language:  Lembaga Antariksa dan Penerbangan Nasional  (Indonesian language),LAPAN,27 November 1964,—,Yes,Yes,Yes,No,[ Wikipedia:Citation needed ]
//upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Flag_of_Iran.svg/23px-Flag_of_Iran.svg.png Iran,Iranian Space Agency (Iranian Space Agency: سازمان فضایی ایران‎),ISA,2003,—,No,Yes,Yes,Yes,[9][10][11]
//upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Flag_of_Israel.svg/21px-Flag_of_Israel.svg.png Israel,Israeli Space Agency (Israeli Space Agency: סוכנות החלל הישראלית‎)," ISA סל""ה ",April 1983,—,Yes,Yes,Yes,No,[ Wikipedia:Citation needed ]
//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,Japan Aerospace Exploration Agency (Japan Aerospace Exploration Agency: 宇宙航空研究開発機構),JAXA,1 October 2003,—,Yes,Yes,Yes,Yes,[12][13]
//upload.wikimedia.org/wikipedia/commons/thumb/6/66/Flag_of_Malaysia.svg/23px-Flag_of_Malaysia.svg.png Malaysia,Malaysian National Space Agency (Malaysian National Space Agency:  Agensi Angkasa Negara ),ANGKASA,2002,—,Yes,Yes,No,No,[14]
//upload.wikimedia.org/wikipedia/commons/thumb/5/51/Flag_of_North_Korea.svg/23px-Flag_of_North_Korea.svg.png North Korea,Korean Committee of Space Technology (Korean Committee of Space Technology: 조선우주공간기술위원회),KCST,1980s,2013,No,Yes,Yes,No,[15][16][17]
//upload.wikimedia.org/wikipedia/commons/thumb/3/32/Flag_of_Pakistan.svg/23px-Flag_of_Pakistan.svg.png Pakistan,Space and Upper Atmosphere Research Commission (Space and Upper Atmosphere Research Commission: پاکستان خلائی و بالا فضائی تحقی‍قاتی کمیشن‎),SUPARCO سپارکو,16 September 1961,—,No,Yes,Yes,No,[ Wikipedia:Citation needed ]
//upload.wikimedia.org/wikipedia/commons/thumb/9/99/Flag_of_the_Philippines.svg/23px-Flag_of_the_Philippines.svg.png Philippines,Philippine Space Agency,PhilSA,8 August 2019,—,No,Yes,No,No,[18]
//upload.wikimedia.org/wikipedia/commons/thumb/0/09/Flag_of_South_Korea.svg/23px-Flag_of_South_Korea.svg.png South Korea,Korea Aerospace Research Institute (Korea Aerospace Research Institute: 한국항공우주연구원),KARI,10 October 1989,—,Yes,Yes,Yes,No,[ Wikipedia:Citation needed ]
//upload.wikimedia.org/wikipedia/commons/thumb/7/72/Flag_of_the_Republic_of_China.svg/23px-Flag_of_the_Republic_of_China.svg.png Taiwan,National Space Organization (National Space Organization: 國家太空中心),NSPO,3 October 1991,—,No,Yes,Yes,No,[19]
//upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_Thailand.svg/23px-Flag_of_Thailand.svg.png Thailand,Geo-Informatics and Space Technology Development Agency (Geo-Informatics and Space Technology Development Agency: สำนักงานพัฒนาเทคโนโลยีอวกาศและภูมิสารสนเทศ),GISTDA สทอภ,3 November 2002,—,No,Yes,No,No,[20]
