Rank, Country/US state, USD
198, IMG Senegal, 1427
199, IMG Mauritania, 1392
200, IMG Pakistan, 1388
201, IMG Comoros, 1349
202, IMG Lesotho, 1338
203, IMG Zambia, 1307
204, IMG Kyrgyzstan, 1292
205, IMG Myanmar, 1244
206, IMG Benin, 1216
207, IMG Tanzania, 1104
208, IMG Nepal, 1047
209, IMG Guinea, 981
210, IMG Ethiopia, 953
211, IMG Yemen, 943
212, IMG Mali, 924
213, IMG Tajikistan, 877
214, IMG Chad, 861
215, IMG Zimbabwe, 859
216, IMG Rwanda, 824
217, IMG Guinea-Bissau, 786
218, IMG Haiti, 784
219, IMG Uganda, 770
220, IMG Gambia The, 755
221, IMG Burkina Faso, 717
222, IMG Sudan, 714
223, IMG Liberia, 703
224, IMG Togo, 671
225, IMG Sierra Leone, 546
226, IMG Afghanistan, 513
227, IMG Congo Democratic Republic of the, 500
228, IMG Mozambique, 484
229, IMG Madagascar, 463
230, IMG Central African Republic, 447
231, IMG Niger, 405
232, IMG Malawi, 370
233, IMG Eritrea, 342
234, IMG Burundi, 309
235, IMG South Sudan, 275
