Integrated development environment,Software developer,Latest stable Software release,Platform (computing),Software license
Eclipse (software) DLTK,,5.0," Microsoft Windows, Microsoft Windows, Microsoft Windows, Microsoft Windows, Microsoft Windows, Microsoft Windows ",Eclipse Public License
ActiveState Komodo,ActiveState,9.0.1,Cross-platform," IDE:Proprietary software, Edit:Proprietary software, Proprietary software, Proprietary software "
SlickEdit,SlickEdit,October 2016 v.21," Windows, Windows, Windows, Windows, Windows, Windows ",Proprietary software
