Product,Special features
Apabi Reader (page does not exist),Support for the CEBX ebook format VGA output support
Blio,Support for the visually impaired
Bluefire Reader," Optional PDF password protection Localized in English, French, German, Norwegian, Icelandic, Italian, Portuguese, Romanian, Danish Support for Chinese, Japanese, and Korean language epub3 format including Vertical writing mode and R2L page order Supports multiple concurrent Adobe user account activations, both Adobe ID and Vendor ID accounts Export notes and highlights to email Collections Feature for organizing user Library  "
DL Reader (page does not exist)," Optional PDF password protection Localized in Japanese, English, German, French, Russian, Vietnamese, Hebrew, Arabic, Spanish, Portuguese, Dutch, Thai, Traditional Chinese, Simplified Chinese  "
EBookMobi (page does not exist)," Optional password protection Displays Microsoft Office documents Adjust screen brightness via swipe Localized in Japanese, English, German, French, Russian, Vietnamese Supports custom Stardict Dictionaries Supports online translation to 105 languages  "
Ebook Reader (page does not exist)," Full Epub3 support for in-book audio and video. Online sync of all bookmarks, highlights, notes and reading position. Import DRM free PDF and Epub files. User created collections for organizing books. "
I2Reader (page does not exist),Configurable status line Custom PDF engine
IBooks,iBooks can read text aloud to the user.
Amazon Kindle,Ebooks can be emailed to an auto-generated Amazon email address
Kobo eReader,Strictly enforces registration with Kobo Support for magazine subscriptions. Extensive social media support via Facebook. Reading statistics and achievements.
KyBook," Localized in Russian, English Supports online translation via Yandex.Translate Allows loading user fonts Extensive options for library sorting Changing book covers via Google Image Search Supports use of Tor (anonymity network)  "
KyBook 2," Localized in English, Russian, German, Greek Supports online translation via Yandex, Microsoft and Auto translation Text to Speech technology Allows loading user fonts Extensive options for library sorting Changing book covers via Google Image Searchand other sources Supports Audio Books (mp3, m4a, m4b), comic books (cbr, cbz, cbt), Amazon format (awz) and archives (zip, rar, tar) Supports use of Tor (anonymity network)  "
Marvin," Optional password protection. Customizable page warmth and tint. ""Deep View"" automatically creates name lists, summaries, adds references to (Wikipedia) articles and pins web pages, reviews, etc... to the book. Specialized font to assist users with Dyslexia. Integration and annotation syncing with Calibre. Global &amp; book-specific vocabulary. Export notes, highlights, vocabulary &amp; other user modifications to XHTML and CSV files. Reading timer.  "
MegaReader (page does not exist)," Configurable tap zones (next/previous page, show menus, rotation lock, toggle heads up display) Optionally uses the rear camera for ""look-through"" reading.  "
PocketBook reader (page does not exist)," Export book info, notes, highlights to mail, sms, Facebook, Twitter. Localization in English and Russian. Single page, dual page or scroll viewing modes. Crop page margins manually or automatically to fit page content to the screen size. Allows zoom in or out a page via pinch and stretch gestures. Allows zoom to a particular text fragment via double touch. Adjust font size via pinch and stretch gestures (epub, fb2, txt).  "
ShuBook 2 (page does not exist)," Basic support for Microsoft Office documents (DOC, XLS, PPT) &amp; RTF. Extensive East Asian support  "
SideBooks (page does not exist)," Optional password protection Single page, dual page or scroll viewing modes. Choose from opening left to right / right to left / vertically for comics or manga. Choose the pair of facing pages by setting the cover to on or off Supports comic books (cbr, cbz), and archives (zip, rar) Localized in Japanese, Korean, Simplified Chinese, Traditional Chinese  "
Lexcycle Stanza,Cover Flow[f 1] Extensive options for library sorting Customizable background picture &amp; transparency settings Has some stability problems on iOS >= 5.0 Stanza is not being updated any more
UBooks XL (page does not exist),Displays Microsoft Office documents Customizable background Extensive options for library sorting
IBouquiniste (page does not exist),
