,English,Esperanto,Novial
Infinitive,(to) be absorbed,est-i absorb-at-a(j),es absorba-t
Simple Present tense,"   is (am, are) absorbed ",est-as absorb-at-a(j),es absorba-t
Future tense,will (shall) be absorbed,est-os absorb-at-a(j),sal es absorba-t
Simple Past tense,was absorbed,est-is absorb-at-a(j),did es (es-ed) absorba-t
Past Perfect (grammar),have (has) been absorbed,est-as absorb-it-a(j),ha es absorba-t
Pluperfect,had been absorbed,est-is absorb-it-a(j),ha-d es absorba-t
Future tense Future tense,will (shall) have been absorbed,est-os absorb-it-a(j),sal ha es absorba-t
Future tense in the past,"   was going to (would, should) be absorbed ",est-is absorb-ot-a(j),sal-ed es absorba-t
Conditional mood,would (should) be absorbed,est-us absorb-at-a(j),vud es absorba-t
Conditional mood Conditional mood,would (should) have been  absorbed,est-us absorb-it-a(j),vud ha es absorba-t
First Imperative mood,let us be absorbed!,ni est-u absorb-ataj!,let nus es absorba-t!
Second Imperative mood,be absorbed!,est-u absorb-at-a(j)!,es absorba-t!
Third Imperative mood,let him be absorbed!,li est-u absorb-at-a!,let lo es absorba-t!
