Format,Returns,Languages
string'Length,,Ada (programming language)
UPB string,,ALGOL 68
length( string ),," Ingres (database), Ingres (database), Ingres (database), Ingres (database) (Ingres (database)), Ingres (database), Ingres (database), Ingres (database), Ingres (database) "
Len (programming)( string ),," BASIC, BASIC, BASIC, BASIC, BASIC "
" length( string ), string:len( string ) ",,Erlang (programming language)
Len (programming)( string ),," Visual Basic, Visual Basic "
string .Length,Number of UTF-16 UTF-16," Visual Basic .NET, Visual Basic .NET, Visual Basic .NET, Visual Basic .NET "
chars( string )    string .chars,Number of graphemes (NFG),Raku (programming language)
codes( string )    string .codes,Number of Unicode code points,Raku (programming language)
string .size OR  string .length,Number of bytes[27],Ruby (programming language)
Strlen( string ),Number of bytes," C (programming language), C (programming language) "
string .length(),,C++ (STL)
string .length,," Cobra (programming language), Cobra (programming language), Cobra (programming language) "
string .length(),Number of UTF-16 UTF-16,Java (programming language)
(string-length  string ),,Scheme (programming language)
(length  string ),," Common Lisp, Common Lisp "
(count  string ),,Clojure
String.length  string,,OCaml
size  string,,Standard ML
length  string,Number of Unicode code points,Haskell (programming language)
string .length,Number of UTF-16 code units,Objective-C (NSString * only)
string .characters.count,Number of characters,Swift (programming language) (2.x)
count( string ),Number of characters,Swift (programming language) (1.2)
countElements( string ),Number of characters,Swift (programming language) (1.0–1.1)
string.len( string )   ( string ):len()   # string,,Lua (programming language)
string  size,,Smalltalk
" LEN( string ), or LEN_TRIM( string ) ",,Fortran
StringLength[ string ],,Mathematica
Length(string) or Size(string),number of bytes as $int+,Ya
«FUNCTION» LENGTH( string ) or «FUNCTION» BYTE-LENGTH( string )," number of characters and number of bytes, respectively ",COBOL
string length  string,a decimal string giving the number of characters,Tcl
≢  string,,APL (programming language)
string .len(),Number of bytes,Rust (programming language)Rust (programming language)
string .chars().count(),Number of Unicode code points,Rust (programming language)Rust (programming language)
