Format,Languages,If not found
" char in string(char, pos,  string[startpos:] ) ",ALGOL 68," returns BOOL: TRUE or FALSE, and position in REF INT pos. "
" instr( string , any  char «, startpos ») (char, can contain more them one char, in which case the position of the first appearance of any of them is returned.) ",FreeBASIC,returns 0
" strchr( string , char ) "," C (programming language), C (programming language) (C (programming language) C (programming language) only, returns pointer to character) ",returns NULL
" std.string.find( string ,  dchar ) ",D (programming language),returns −1
"  string .find( char «, startpos ») ",C++ (STL),returns std::string::npos
" pos( string ,  char «,  startpos ») ",Seed7,returns 0
" strings.IndexRune( string , char ) ",Go (programming language),returns −1
"  string .indexOf( char «, startpos ») "," Java (programming language), Java (programming language) ",returns −1
"  string .IndexOf( char «, startpos «,  charcount »») "," Visual Basic .NET, Visual Basic .NET, Visual Basic .NET, Visual Basic .NET ",returns −1
(position  char   string ),Common Lisp,returns NIL
(char-index  char   string ),ISLISP,returns nil
List.elemIndex  char   string,Haskell (programming language) (returns Just  index ),returns Nothing
String.index  string   char,OCaml,raises Not_found
" position = SCAN ( string ,  set  «,  back » «,  kind ») or   position = VERIFY ( string ,  set  «,  back » «,  kind »)[a] ",Fortran,returns zero
string  indexOf:  char  ifAbsent: aBlock    string  indexOf:  char     string  includes:  char,Smalltalk,evaluate aBlock which is a BlockClosure (or any object understanding value)   returns 0   returns true or false
" index( string ,  char ,  startpos  ) ",PL/IPL/I,returns 0 (positions start at 1)
string .index(? char ),Ruby (programming language),returns nil
"  strpos( string , char , startpos )  ",PHP,returns false
"  string .indexOf( char «, startpos «,  charcount »») ",Cobra (programming language),returns −1
string ⍳ char,APL (programming language),returns 1 + the last position in  string
