Client, Written in, License, Access API
BeeGFS, C / C++, FRAUNHOFER FS (FhGFS) EULA[40] GPLv2 client, POSIX
ObjectiveFS[41], C, Proprietary, POSIX FUSE
Spectrum Scale (GPFS), C C++, Proprietary, POSIX NFS SMB Swift S3 HDFS
MapR-FS, C C++, Proprietary, POSIX NFS FUSE S3
PanFS, C C++, Proprietary, DirectFlow POSIX NFS SMB/CIFS HTTP CLI
Infinit[42], C++, Proprietary (to be open sourced)[43], FUSE Installable File System NFS/SMB POSIX CLI SDK (libinfinit)
Isilon OneFS, C/C++, Proprietary, POSIX NFS SMB/CIFS HDFS HTTP FTP SWIFT Object CLI Rest API
Scality, C, Proprietary, FUSE NFS REST AWS S3
Quobyte, Java C++, Proprietary, POSIX FUSE NFS SMB/CIFS HDFS AWS S3 TensorFlow Plugin CLI Rest API
