Name,Free and open-source software,Platform,Details
CrushFTP Server," No, Proprietary software "," Mac OS X, Windows, Linux, *BSD, Solaris, etc. "," FTP, FTP, FTP, FTP, FTP, FTP, FTP and WebDAV over SSL, FTP, FTP, Plugin API, Windows FTP / FTP authentication, FTP authentication, GUI remote administration, Events / Alerts, X.509 user auth for HTTPS/FTPS/FTPES, MD5 hash calculations on all file transfers, Protocol Conversion (incoming FTP/FTPS/SFTP/HTTP/HTTPS protocols converted to a back end FTP/SFTP server.), FTP, FTP, CrushTask, Headless (Web browser management, or you can edit XML files directly, or issue terminal commands to add users, manage groups, inheritance, permissions, query server statistics, etc.FTP) Supports cloud storage via FTP, FTP, FTP file storage, FTP and FTP for file data. Support for CrushBalance load balancer, or others via proxy protocol v1 and v2. "
Glftpd," No, Proprietary software "," Linux, BSD, Mac OS X "," Virtual users and groups, private paths, bandwidth throttling, upload/download ratio support, on the fly CRC calculating of files being uploaded, script support on almost all commands and operations, online user management, built-in statistics viewable using site commands, FTPS and ACL support. Supports FTPS. "
ProFTPD," Yes, GNU General Public License "," Unix-like (Linux, BSD, Mac OS X, and moreCygwin), Windows with Cygwin ",Feature rich and popular FTP daemon for Unix-like platforms. Many third party Graphical User Interface available. SFTP can be supported via add-on module.Graphical User Interface
Pure-FTPd," Yes, BSD License "," Linux, BSD, Mac OS X, and more ",Supports File eXchange Protocol.
Vsftpd," Yes, GPLv2 "," Linux, BSD, and more "," FTP, FTP, FTP. Supports X.509 client cert auth. deny / enable lists for user access. Logging data can be compatible with wu-ftpd format. FTP is default FTP daemon in FTP, FTP, FTP, FTP (along with ProFTPD), FTP and FTP. Others like FTP require an additional installation. GPLv2 license with exception for linking with OpenSSL. "
Wu-ftpd," No, Proprietary software "," Linux, BSD, Solaris, Mac OS X and more "," Main website seems offline, but continues development in the newer CC series "
