Name,Disk image,ISO image,Directory (computing) on host,physical disk / device,raw / flat (whole disk),raw / flat (Disk partitioning),hdd (Parallels Workstation),Qcow (Qcow),Qcow (Qcow),QED (QEMU),VDI (file format) (VDI (file format)),VHD (file format) (VHD (file format)),VHDX (Hyper-V),VMDK (VMDK)
BochsBochs,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No," v3, v4 "
Solaris Containers,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Cooperative Linux (coLinux),?,?,?,?,?,?,?,?,?,?,?,?,?,?
Charon (software),?,?,?,?,?,?,?,?,?,?,?,?,?,?
Denali (operating system),?,?,?,?,?,?,?,?,?,?,?,?,?,?
DOSBox,Yes,Yes,Yes,?,Yes,?,No,No,DOSBox-X fork,No,No,No,No,No
Dosemu,?,?,Yes,?,?,?,?,?,?,?,?,?,?,?
FreeBSD Jail,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
GXemul,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Hercules emulator,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Hyper-V (2008 R2),Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No
Hyper-V (2012),Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No
Hyper-V (2012 R2),Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No
ICore Virtual Accounts,?,?,?,?,?,?,?,?,?,?,?,?,?,?
HP Integrity Virtual Machines,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Java PC,Yes,Yes,Yes,?,Yes,?,?,?,?,?,?,?,?,?
Linux-VServer,?,?,?,?,?,?,?,?,?,?,?,?,?,?
LynxSecure,?,?,?,?,?,?,?,?,?,?,?,?,?,?
LXC,?,?,?,?,?,?,?,?,?,?,?,?,?,?
OpenVZ,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Oracle VM Server for x86,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Oracle VM Server for SPARC (LDoms),?,?,?,?,?,?,?,?,?,?,?,?,?,?
OVPsim,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Parallels Desktop for Mac,?,?,?,?,?,?,Yes,?,?,?,?,?,?,?
Parallels Workstation,?,?,?,?,?,?,Yes,?,?,?,?,?,?,?
PearPC,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No
PikeOS,?,?,?,?,?,?,?,?,?,?,?,?,?,?
PowerVM,?,?,?,?,?,?,?,?,?,?,?,?,?,?
QEMU,Yes,Yes,Yes,Yes,Yes,Yes,read-only,Yes,Yes,Yes,Yes,Yes,Yes,Yes
QEMU w/ QEMU module,?,?,?,?,?,?,?,Yes,No,No,?,?,?,?
QEMU w/ QEMU module,?,?,?,Yes,Yes,?,?,Yes,Yes,?,?,?,?,Yes
QuickTransit,?,?,?,?,?,?,?,?,?,?,?,?,?,?
ScaleMP vSMP Foundation,?,?,?,?,?,?,?,?,?,?,?,?,?,?
SIMH,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Simics,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Sun xVM Server,?,?,?,?,?,?,?,?,?,?,?,?,?,?
SVISTA 2004,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Trango Virtual Processors,?,?,?,?,?,?,?,?,?,?,?,?,?,?
User Mode Linux,?,?,?,?,?,?,?,?,?,?,?,?,?,?
VirtualBox,Yes,Yes,No,Yes[22],Yes[22],Yes[22],up to v2,Yes,read-only,Yes,Yes,Yes," Can read existing disks, but not create new disks. ",Yes
Virtual Iron 3.1,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Microsoft Virtual PC 2007,Yes,Yes,?,?,?,?,No,No,No,No,No,Yes,No,No
Windows Virtual PC,Yes,Yes,?,?,?,?,No,No,No,No,No,Yes,Yes,No
Microsoft Virtual PC 7 for Mac,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No
VirtualLogix VLX,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Microsoft Virtual Server 2005 R2,?,?,?,?,?,?,?,?,?,?,?,?,?,?
CoWare CoWare,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Virtuozzo,?,?,?,?,?,?,?,?,?,?,?,?,?,?
VMware ESX Server,?,?,?,?,?,?,?,?,?,?,?,Yes,?,?
VMware ESXi,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes
VMware Fusion,?,Yes,?,?,?,?,?,?,?,?,?,?,?,Yes
VMware Server,?,?,?,?,?,?,?,?,?,?,?,?,?,Yes
VMware Workstation,Yes,Yes,?,Yes,?,?,?,?,?,?,?,?,?,Yes
VMware Player,?,?,?,?,?,?,?,?,?,?,?,?,?,Yes
Wind River Systems Hypervisor,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Wind River Systems VxWorks MILS Platform,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Xen,Yes,Yes,?,Yes,Yes [23],?,?,Yes [23],Yes [23],?,?,Yes [23],?,?
XCP-ng,?,?,?,?,?,?,?,?,?,?,?,?,?,?
XenServer,Yes,Yes,?,Yes,Yes [23],?,?,Yes [23],Yes [23],?,?,Yes [23],?,?
XtratuM,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Z/VM,?,?,?,?,?,?,?,?,?,?,?,?,?,?
z LPAR,?,?,?,?,?,?,?,?,?,?,?,?,?,?
