YouTube Downloader,MP3,MPEG4,WMV,Audio Video Interleave,FLV,Ogg Theora,Ogg Vorbis,Matroska,3GP,SWF,Special device profiles (e.g. IPhone),MPEG-4 Part 14,WebM
4KDownload,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,?,?
ClipGrab,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,?,?
Airy (software),Yes,Yes,No,No,No,No,No,No,No,No,No,?,?
Free Studio,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,?,?
JDownloader,Yes,Yes,No,No,Yes,No,No,No,No,No,No,?,?
MP3 RocketMP3 Rocket,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,?,?
Video DownloadHelper,Yes,Yes,Yes,Yes,Yes,?,?,?,?,?,?,?,?
Freemake Video Downloader,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
NewPipe,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
