Integrated development environment,Software developer,Latest stable Software release,Platform (computing),Software license
Eclipse (software),EPIC Project Team," 0.6.44 / April 18, 2012 "," Microsoft Windows, Microsoft Windows, Microsoft Windows, Microsoft Windows, Microsoft Windows, Microsoft Windows ",Common Public License
Geany,Team," 1.27 / March 13, 2016 "," Microsoft Windows, Microsoft Windows, Microsoft Windows, Microsoft Windows, Microsoft Windows, Microsoft Windows, Microsoft Windows, other Microsoft Windows ",GNU General Public License
ActiveState Komodo,ActiveState," 9.0.1 / April 19, 2015 ",Cross-platform,Proprietary software
NetBeans,Sun Microsystems / Sun Microsystems," 9.0 / July 29, 2018; 16 months ago (2018-07-29)[35] ",Cross-platform," Common Development and Distribution License, Common Development and Distribution License "
Padre (software),Padre Team," 1.0 / November 8, 2013 ",Cross-platform,Perl license
JetBrains (via plugin)JetBrains,Alexandr Evstigneev," 2019.1.3 / May 25, 2019 ",Cross-platform,Apache License
SlickEdit,SlickEdit,October 2016," Windows, Windows, Windows, Windows, Windows, Windows ",Proprietary software
