,MySQL,PostgreSQL,Microsoft SQL Server,Oracle database,SQLite,Firebird (database server),Flat file database
BbPressBbPress,Yes,No,No,No,No,No,No
Beehive Forum,Yes,No,No,No,No,No,No
Discourse (software),No,Yes,No,No,No,No,No
Discuz!,Yes,Yes,No,No,No,No,No
FluxBB,Yes,Yes,No,No,SQLite 2[85],No,No
FUDforum,Yes,Yes,Yes,Yes,Yes,Yes,No
Iko (software),Yes,No,No,No,No,No,No
Ikonboard,Yes,Yes,No,Yes,No,No,Yes
Invision Power Board,Yes,No,Discontinued [86],No,No,No,No
Kusaba,Yes,No,No,No,No,No,No
MyBBMyBB,Yes,Yes,No,No,Yes,No,No
Phorum,Yes,No,No,No,No,No,No
PhpBBPhpBB,Yes,v8.2 or newer[87][88],Yes,Yes,Yes,Discontinued,No
PunBBPunBB,Yes,Yes,No,No,Yes,No,No
Simple Machines Forum,Yes,Yes,No,No,Yes,No,No
Syndie,Yes (HSQLDB),No,No,No,No,No,No
ThreddedThredded,Yes,Yes,No,No,Yes,No,No
Vanilla Forums,Yes,No,No,No,No,No,No
VBulletinVBulletin,Yes,No,No,No,No,No,No
XenForo,Yes,No,No,No,No,No,No
