Model (Codename),Launch,Microarchitecture (Microarchitecture),Transistors Die Size,Core,,FillrateFillrateFillrateFillrate,,Processing powerGFLOPSGFLOPS (GFLOPS),,Memory,,,,TDP (Watt),Bus interface,Release Price (USD)
,,,,Config[e],ClockHertz (Hertz),Texture (Texel (graphics)/s),Pixel (Pixel/s),Single precision floating-point format,Double precision floating-point format,Bus type &amp; width (Bit),Size (Gibibyte),Clock (Transfer (computing)),Band- width (Gigabyte/s),,,
Radeon Pro WX 2100 (Mobile) (Polaris 12)[333],March 2017,Graphics Core Next (14 nm)Graphics Core Next,2.2×109 101 mm2,512:32:16:8,?,?,?,1250,78 1/16 SP,GDDR5 64-bit,2,6000,48,35,PCIe 3.0 ×16,$ 149
Radeon Pro WX 3100 (Mobile) (Polaris 12)[335][336],March 2017,,,512:32:16:8,?,?,?,1250,78 1/16 SP,GDDR5 128-bit,4,6000,96,50,,$ 199
Radeon Pro WX 4130 Mobile (Polaris 11)[337],March 2017,,3.0×109 123 mm2,640:40:16:10,1000 1050,16.85,42.12,1348,84.24 1/16 SP,GDDR5 128-bit,4,6000,96,50,,Unknown
Radeon Pro WX 4150 Mobile (Polaris 11)[338],March 2017,,,896:56:16:14,1000 1050,16.85,58.97,1887,118 1/16 SP,GDDR5 128-bit,4,6000,96,50,,Unknown
Radeon Pro WX 4170 Mobile (Polaris 11)[339],March 2017,,,1024:64:16:16,1000 1050,16.85,67.39,2157,135 1/16 SP,GDDR5 128-bit,4,7000,112,50,,$ 399 See WX4100
Radeon Pro WX 7100 Mobile (Polaris 10)[340],March 2017,5.7×109 232 mm2,2304:144:32:36,1188,39.78,179.0,5728,358  1/16 SP,GDDR5 256-bit,8,5000,160,130,$ 799 See WX7100,
