Integrated development environment,Software developer,Latest stable Software release,Microsoft Windows,Linux,MacOS,Platform (computing),Mobile development,Debugger,GUI builder,Software license,Autocomplete
CodeTyphon,PilotLogic,2020-01-08 Ver 7.00,Yes,Yes,Yes," AmigaOS, AmigaOS, AmigaOS, AmigaOS, AmigaOS, AmigaOS, AmigaOS, AmigaOS, AmigaOS, AmigaOS, AmigaOS, AmigaOS, AmigaOS, AmigaOS, AmigaOS, AmigaOS, AmigaOS, AmigaOS, AmigaOS, AmigaOS (experimental), JavaScript transpiler, AmigaOS.  ",Yes,Yes,Yes,GPL; GPL with static linking exception,Yes
Embarcadero Delphi,Embarcadero Technologies,Delphi 10.3 (Rio) / November 21 2018,Yes,No,No," cross-compile to MacOS, MacOS, MacOS MacOSMacOS ",Yes,Yes,Yes,Proprietary software,Yes
Free Pascal IDE,Volunteers," 3.0.4 / December 6, 2017 ",Yes,Yes,Yes," AmigaOS, AmigaOS, AmigaOS, AmigaOS, AmigaOS, AmigaOS, AmigaOS, AmigaOS, AmigaOS, AmigaOS, AmigaOS, AmigaOS, AmigaOS, AmigaOS, AmigaOS, AmigaOS, AmigaOS, AmigaOS (experimental), JavaScript transpiler, AmigaOS. ",Yes,Yes,No,GPL; GPL with static linking exception,No
KDevelop,KDevelop Team," 5.5.1 (May 5, 2020; 4 months ago (2020-05-05)) [±] (only 3.x supports Pascal) ",Yes,Yes,Yes," FreeBSD, FreeBSD, FreeBSD, FreeBSD, other FreeBSD ",No,No,No,GPL,
Lazarus (software),Volunteers," 2.0.0 / February 6, 2019 ",Yes,Yes,Yes,See Free Pascal,Yes,Yes,Yes,GPL; GPL with static linking exception,Yes
MIDletPascal,Code Research Laboratories," 3.5 / February 2, 2013 ",Yes,No,No,cross-compile from Microsoft Windows to Microsoft Windows,Yes,No,No,GPL,
Morfik,Morfik Technology Pty Ltd.,2.0.5.27,Yes,Yes,Yes,compiles to HTML+HTML+HTML+HTML (HTML apps),Yes,Yes,Yes,Proprietary software,
Free Pascal,Martin Schreiber,4.6 / 2017-11-24,Yes,Yes,No,FreeBSD,Yes,Yes,Yes,GPL; GPL with static linking exception for the library MSEgui,
Understand (software),SciTools,4.0 / April 2015,Yes,Yes,Yes,Solaris (operating system),Yes,No,Yes,Proprietary software,
Microsoft Visual Studio via Microsoft Visual Studio,RemObjects Software,10.0 / August 2018,Yes and additional Water IDE,No,Yes via Fire IDE," Java virtual machine, Java virtual machine, Java virtual machine, Java virtual machine, Java virtual machine, Java virtual machine, Java virtual machine, Java virtual machine, cross compile to Java virtual machine ",Yes,Yes,Yes,Proprietary software; free compiler,Yes
PocketStudio,Winsoft (page does not exist),3.0,No,No,No,Palm OS,Yes,Yes,Yes,Proprietary software,
Dev-Pascal,Bloodshed Software (page does not exist),1.9.2 (using FPC 1.9.2 from 2005),Yes,No,No,,No,Yes,No,GPL,
PascalABC.NET,Volunteers," 3.4 / Jule 27, 2018 ",Yes,Yes,Yes,compiles to Common Language Runtime,No,Yes,Yes,LGPL,Yes
