Report date,Period,Into the sea (TBq),,Source
,,direct,indirect,
21 May 2011,1 – 6 April 2011," 4,700 ",,Tepco[34]
End of August 2011,March – August 2011," 3,500 "," 16,000 ",Japan Meteorological AgencyJapan Meteorological Agency
8 September 2011,March – April 2011," 15,000 ",,Scientist Group[36]
29 October 2011,21 March – 15 July 2011," 27,100 ",,Institut de Radioprotection et de Sûreté NucléaireInstitut de Radioprotection et de Sûreté Nucléaire
