Model, Type, Capacity, Speed (km/h), Speed (mph), Range (km), Range (mi), Door-to-door capable, Price
Distar UFM-13 Lambada, Motor glider, 2, ? km/h, ?, ? km, ?, No, €61000
Pipistrel Virus[1], Ultra-light, 2, 299 km/h, 186 mph, 1419 km, 882 mi, No, €69000
