Country, Spaceplane, First flight mission, Year, Program status
IMG Japan, HOPE-X, HYFLEX, 1996, Cancelled
IMG China, Various, Shenlong, 2007, Ongoing
IMG India, RLV–TD, Hypersonic Flight Experiment, 2016, Under development
