Name,Language,License,Type,Configurable Titlebar buttons,Graphical configuration,Hotkey,Inter-Client Communication Conventions Manual/Inter-Client Communication Conventions Manual compliant,Panel for window switching,Tab (GUI),Themeable,Memory (MB)[1],Initial Release,Latest Stable Release
2bwm (page does not exist),C (programming language),,Stacking window manager,,No,Yes,,,,Yes,,,
9wm,C (programming language),MIT License,Stacking window manager,No,No,No,,Yes,No,No,0.4,1994,
Aewm (page does not exist),C (programming language),MIT License,Stacking window manager,No,No,No,Yes,Yes,No,No,,,
Awesome (window manager)," C (programming language), C (programming language) ",GNU General Public License,Dynamic window manager,Yes,No,Yes,Yes,Yes,No,Yes,9,2007-09-18,
Berry,C (programming language),MIT License,Stacking window manager,No,via CLI client,via CLI client and third party (e.g. sxhkd),No,No,No,Yes,,2018-08-24,2019-09-21
Blackbox,C++,MIT License,Stacking window manager,No,third-party,with bbkeys,through 0.65 / from 0.70[2],Yes,No,Yes,3,,
Bspwm (page does not exist),C (programming language),BSD LicenseBSD License,Tiling window manager,No,No,with sxhkd,Partial,No,No,No,,2013-04-23,
Compiz,C (programming language) (C (programming language)),MIT License,Compositing window manager,Yes,Yes,Yes,Yes,third-party,Yes,Yes,,2006,2016-11-11
Cwm (window manager),C (programming language),ISC license,Stacking window manager,no titlebar buttons,No,Yes,,No,No,Yes,,2004-07-10,2019-09-17
Dwm,C (programming language),MIT License,Dynamic window manager,no titlebar buttons,No,Yes,,Yes,No,Yes,1,2006-07-14,
Enlightenment (window manager),C (programming language),BSD license,Compositing window manager,Yes,Yes,Yes,Yes,Yes,No,Yes,,1997,2019-08[4]
Evilwm (page does not exist),C (programming language),MIT LicenseMIT License,Stacking window manager,no titlebar buttons,No,Yes,Partial[6],No,No,Yes,,2000,2015-07-13
EXWM (page does not exist),Emacs Lisp,GNU General Public License,Tiling window manager,No,No,Yes,Partial,No,No,Yes,,,
Fluxbox,C++,MIT License,Stacking window manager,Yes,third-party,Yes,Yes[7],Yes,Yes,Yes,16,2001-09-12,2015-02-08
FLWM,C++ (C++),GNU General Public License,Stacking window manager,,No,Yes,,There is a window list menu,No,No,,1998,
FVWM,C (programming language),GNU General Public License,Dynamic window manager,Yes,No,Yes,Yes,Yes,Yes[8],third-party[9][10],4,1993-06-01,
I3 (window manager),C (programming language),BSD License,Dynamic window manager,no titlebar buttons,No,Yes,Yes,No,Yes,Yes,3,2009-03-15,
IceWM,C++,GNU Lesser General Public License,Stacking window manager,Yes,third-party,Yes,Yes,Yes,No,Yes,4.5,1997,2019-03-27
Ion (window manager)," C (programming language), C (programming language) ",GNU Lesser General Public License with naming restrictions on modified versions,Tiling window manager,no titlebar buttons,No,Yes,,No,Yes,Yes,,2000,2009-01-10
JWM,C (programming language),MIT License (Formerly MIT License),Stacking window manager,Yes,third-party,Yes,EWMH,Yes,No,Yes,3,2003,
KWin,C++ (C++),GNU General Public License,Compositing window manager,Yes,Yes,Yes,Yes,Yes,Yes,Yes,41,,2019-01
Matchbox (window manager),C (programming language),GNU General Public License,Stacking window manager,,,,EWMH compliance,No,No,Yes,,2007-04-13,
Metacity," C (programming language), C (programming language) (C (programming language)) ",GNU General Public License,Compositing window manager,Yes,Yes,Yes,Yes,Yes,No,Yes,,2002-10,2016-09
Mutter (window manager),C (programming language) (C (programming language)),GNU General Public License,Compositing window manager,Yes,Yes,Yes,Yes,Gnome Shell,No,Yes,18.6,2011-04,2018-09
Motif Window Manager,C (programming language),The Open Group Public License (page does not exist),Stacking window manager,No,No,Yes,,,,can change colours,,1989,
Openbox,C (programming language),GNU General Public License,Stacking window manager,Yes,third-party,Yes,Yes,third-party,No,Yes,7,2002-09-18,
PekWM (page does not exist),C++,GNU General Public License,Stacking window manager,Yes,No,Yes,Partial,No,Yes,Yes,5.3,,
PlayWM (page does not exist),C (programming language),GNU General Public License,Stacking window manager,Yes,No,Yes,Yes,Yes,No,Yes,,,
Ratpoison,C (programming language),GNU General Public License,Tiling window manager,No,No,Yes,No,No,No,No,1,2000-12-04,
Sawfish (window manager)," Lisp (programming language), Lisp (programming language) ",GNU General Public License,Stacking window manager,Yes,Yes,Yes,Partial,Yes,primitive,Yes,3.1,2000-01-01,
