Country, Year, Mission
IMG Japan, 1970, Lambda-4S/Ohsumi
IMG China, 1970, Long March 1/Dong Fang Hong I
IMG India, 1980, SLV/Rohini D1
IMG Israel, 1988, Shavit/Ofeq 1
IMG Iran, 2009, Safir-1/Omid
IMG North Korea, 2012, Unha-3/Kwangmyŏngsŏng-3 Unit 2
