Integrated development environment,Software license,Written in Java (programming language) only,Microsoft Windows,Linux,MacOS,Platform (computing),GUI builder
BlueJ,GNU General Public License+GNU General Public License,Yes,Yes,Yes,Yes,Solaris (operating system),No
DrJava,Permissive free software licences,Yes,Yes,Yes,Yes,Solaris (operating system),No
Eclipse (software),Eclipse Public License,No[28],Yes,Yes,Yes," FreeBSD, FreeBSD, FreeBSD ",Yes
Geany,GPL,No,Yes,Yes,Yes," FreeBSD, FreeBSD, FreeBSD, FreeBSD, other FreeBSD ",No
Greenfoot,GPL,Yes,Yes,Yes,Yes,Solaris (operating system),No
IntelliJ IDEA," Community Edition: Apache License, Ultimate Edition: proprietary ",Yes,Yes,Yes,Yes," FreeBSD, FreeBSD, FreeBSD ",Yes
JBuilder,Proprietary software,Yes,Yes,Yes,Yes,Solaris (operating system),Yes
JCreator,Proprietary software,No,Yes,No,No,,No
JDeveloper,Proprietary software (Proprietary software),Yes,Yes,Yes,Yes,JVM,Yes
JGRASP,Proprietary software (Proprietary software),Yes,Yes,Yes,Yes,,No
MyEclipse,Proprietary software,Yes,Yes,Yes,Yes," FreeBSD, FreeBSD, FreeBSD ",Yes
NetBeans," CDDL, CDDL ",Yes,Yes,Yes,Yes," OpenBSD, OpenBSD ",Yes
Rational Application Developer,Proprietary software,Yes,Yes,Yes,No," IBM AIX, IBM AIX ",Yes
Servoy,Proprietary software,Yes,Yes,Yes,Yes,Solaris (operating system),Yes
SlickEdit,Proprietary software,No,Yes,Yes,Yes," Solaris (operating system), Solaris (operating system), Solaris (operating system), Solaris (operating system) ",No
Understand (software),Proprietary software,No,Yes,Yes,Yes,Solaris (operating system),Yes
Xcode,Proprietary software,No,No,Yes,Yes,,Yes
