Vehicle,Origin,Manufacturer,Payload mass to ... (kg),,,Launches[note 5],Date of flight,
,,,Low Earth orbit,Geostationary transfer orbit,Other,,First[note 6],Latest
Atlas V 421,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,United Launch Alliance," 9,050[15] "," 7,000 "," 9,050 to SSO ",7[15],2007,2017
Atlas V 431,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,United Launch Alliance," 9,050[15] "," 7,800 "," 9,050 to SSO ",3[15],2005,2016
Atlas V 501,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,United Launch Alliance," 8,250[15] "," 3,970 "," 5,945 to SSO 1,500 to GEO ",6[15],2010,2015
Atlas V 511,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,United Launch Alliance," 10,950[15] "," 5,370 "," 7,820 to SSO 1,750 to GEO ",0,–,
Atlas V 521,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,United Launch Alliance," 13,300[15] "," 6,485 "," 9,585 to SSO 2,760 to GEO ",2[15],2003,2004
Atlas V 531,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,United Launch Alliance," 15,300[15] "," 7,425 "," 11,160 to SSO 3,250 to GEO ",3[15],2010,2013
Atlas V 541,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,United Launch Alliance," 17,100[15] "," 8,240 "," 12,435 to SSO 3,730 to GEO ",6[15],2011,2018
Atlas V 551,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,United Launch Alliance," 18,500[15] "," 8,700 "," 13,550 to SSO 3,960 to GEO ",10[15],2006,2019
Atlas V 552,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,United Launch Alliance," 20,520[16] ",,,0,2020[17],
Atlas V Atlas VAtlas V,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,United Launch Alliance," 13,000[19] ",,,0,2019[20],
Firefly Beta,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Firefly Aerospace," 4,000[21] ",TBA," 3,000 to SSO ",0,TBA,
Bloostar,//upload.wikimedia.org/wikipedia/en/thumb/9/9a/Flag_of_Spain.svg/23px-Flag_of_Spain.svg.png Spain,Zero 2 Infinity,140[22],,75 to SSO[22],0,2019[23],
Cyclone-4M,//upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Ukraine.svg/23px-Flag_of_Ukraine.svg.png Ukraine,Yuzhnoye Design Office   Yuzhnoye Design Office," 5,000[24] "," 1,000[25] "," 3,350 to SSO[24] ",0,2021[26],
Delta IV Heavy,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,United Launch Alliance," 28,790[27] "," 14,220 "," 23,560 to polar   10,000 to TLI   8,000 to TMI ",11[28],2004,2019
Electron (rocket),//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States //upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Rocket Lab,225[29],,150 to SSO,9[30],2017,2019
Epsilon (rocket),//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,IHI AerospaceIHI Aerospace," 1,500[32] ",,590 to SSO,4[33],2013,2019
Eris (rocket),//upload.wikimedia.org/wikipedia/commons/thumb/8/88/Flag_of_Australia_%28converted%29.svg/23px-Flag_of_Australia_%28converted%29.svg.png Australia   //upload.wikimedia.org/wikipedia/commons/thumb/8/88/Flag_of_Australia_%28converted%29.svg/23px-Flag_of_Australia_%28converted%29.svg.png Australia,Gilmour Space Technologies,200[34],,,0,2021–2022[35],
Eris (rocket),//upload.wikimedia.org/wikipedia/commons/thumb/8/88/Flag_of_Australia_%28converted%29.svg/23px-Flag_of_Australia_%28converted%29.svg.png Australia   //upload.wikimedia.org/wikipedia/commons/thumb/8/88/Flag_of_Australia_%28converted%29.svg/23px-Flag_of_Australia_%28converted%29.svg.png Australia,Gilmour Space Technologies,450[34],,,0,TBA,
Falcon 9 Full Thrust   (partially reusable),//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,SpaceX," 16,800+[36][note 11] "," 5,500[37][note 12] "," 9,600 to polar[39] ",45[40][41][note 13],2015,2019
Falcon 9 Full Thrust   (expended),//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,SpaceX," 22,800[37][note 11] "," 6,500[38]–8,300[37] "," 4,020 to TMI ",10[44][45],2017,2019
Falcon Heavy   (partially reusable),//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,SpaceX," 30,000[46]–57,000[47] "," 8,000[37]–10,000[note 14] ",,3[48][49],2018,2019
Falcon Heavy   (expended),//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,SpaceX," 63,800[37] "," 15,000[38]–26,700[37] "," 16,800 to TMI ",0,– [note 15],
GSLV Mk II,//upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png India,Indian Space Research Organisation," 5,000[50] "," 2,700[51][note 16] ",,7[52],2010,2018
