Vehicle,Origin,Manufacturer,Payload mass to ... (kg),,,Launches[note 5],Date of flight,
,,,Low Earth orbit,Geostationary transfer orbit,Other,,First[note 6],Latest
Vulcan (rocket) / Vulcan (rocket),//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,United Launch Alliance," 25,000[171] "," 15,000[171] "," 7,300 to GEO[171][172] ",0,2021[173],
Vulcan (rocket) / Vulcan (rocket),//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,United Launch Alliance," 37,400[27][174][note 32] "," 18,500[note 32] "," 13,000 to TLI[note 32] ",0,2023[175],
Yun Feng,//upload.wikimedia.org/wikipedia/commons/thumb/7/72/Flag_of_the_Republic_of_China.svg/23px-Flag_of_the_Republic_of_China.svg.png Taiwan,National Chung-Shan Institute of Science and Technology,200[176],,,0,TBA,
Yenisei (rocket)Yenisei (rocket),//upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/23px-Flag_of_Russia.svg.png Russia,TsSKB-Progress TsSKB-Progress," 88,000–115,000[145] ",," 20,000 to TLI[178][179] ",0,2028[179],
Zenit-3F,//upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Ukraine.svg/23px-Flag_of_Ukraine.svg.png Ukraine,Yuzhnoye Design Bureau,,," 1,740 to GEO[180] ",4[181],2011,2017
Zenit-3SL,//upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Ukraine.svg/23px-Flag_of_Ukraine.svg.png Ukraine,Yuzhmash   Yuzhmash," 7,000[181] "," 6,160 ",,36[181],1999,2014
Zenit-3SLB / 3M,//upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Ukraine.svg/23px-Flag_of_Ukraine.svg.png Ukraine,Yuzhmash   Yuzhmash,," 3,750[181] ",,6[181],2008,2013
Zero (rocket),//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,Interstellar Technologies,,,100 to SSO[note 8][182],0,2022–2023[183],
Zhuque-1,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,LandSpace,300[184],,200 to SSO,1[185],2018[185],2018
Zhuque-2,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,LandSpace," 4,000[186] ",," 2,000 to SSO ",0,2020[187],
