,ReWire,JACK Audio Connection Kit,Virtual Studio Technology,Virtual Studio Technology,LADSPA,LV2,Disposable Soft Synth Interface,Real Time AudioSuite,Audio Units,DirectX plugin,Motu Audio System
ACID Pro,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
Acoustica (software),No,No,Yes,Yes,No,No,No,No,Yes,No,No
Ardour (audio processor),No,Yes,Yes,Unknown,Yes,Yes,No,No,Yes,No,No
Audacity (audio editor),No,Yes,Yes,No,Yes,Yes,No,No,Only on OS X[2],No,No
AudioDesk,Returns only,No,Via converter,No,No,No,No,No,Yes,No,Yes
Audiotool,No,No,No,No,No,No,No,No,No,No,No
Adobe Audition," Partial (Pre CS5.5 - Yes, CS5.5 - No) ",Yes,Yes,Yes,No,No,No,No,Yes," Partial (Pre CS5.5 - Yes, CS5.5 - No) ",No
BIAS Peak,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Bitwig Studio,No,Yes,Yes,Yes,No,No,No,No,No,No,No
Cakewalk Sonar,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
Steinberg Cubase,Yes,No,Yes,Yes,No,No,No,No,No,Terminated (SX3.1),No
Diamond Cut Audio Restoration Tools,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Digital Performer,Yes,No,Yes,Yes,No,No,No,Yes (with Digi TDM or HD hardware via DAE),Yes,No,Yes
Ecasound,No,Yes,No,No,Yes,No,No,No,No,No,No
FL Studio,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No
GarageBand,Yes,No,No,No,No,No,No,No,Yes,No,No
Goldwave,No,No,Beta,Unknown,No,No,No,No,No,Yes,No
Harrison Mixbus,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No
Jokosher,No,No,No,Unknown,Yes,No,No,No,No,No,No
KRISTAL Audio Engine,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Ableton Live,Yes,No,Yes,Yes (Live 10.1 and newer),No,No,No,No,Yes,No,No
LMMS,No,Yes,Yes,Unknown,Yes,No,No,No,No,No,No
Logic Express/Logic Express,Yes,No,No,No,No,No,No,No,Yes,No,No
Mixcraft,Yes,No,Yes,Yes,No,No,No,No,No,DirectX effects only,No
Mp3DirectCut,No,No,No,No,No,No,No,No,No,No,No
MuLab (MuTools),Yes,Unknown,Yes,No,No,No,No,No,No,No,No
MusE,No,Yes,Yes,Unknown,Yes,Yes,Yes,No,No,No,No
N-track,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No
Nuendo,Yes,No,Yes,Yes,No,No,No,No,No,No,No
NU-Tech,No,No,Yes,Unknown,No,No,No,No,No,No,No
Zynewave Podium,Yes,No,Yes,No,No,No,No,No,No,No,No
Pro Tools,Yes,No,No,No,No,No,No,Before version 11,No,No,No
Qtractor,No,Yes,Yes,Unknown,Yes,Yes,Yes,No,Yes,No,No
REAPER,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No
Reason (software),Yes,No,Yes,No,No,No,No,No,No,No,No
Record (software),Yes,No,No,No,No,No,No,No,No,No,No
Renoise,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No
RiffWorks,Yes,No,Yes,Unknown,No,No,No,No,Yes,No,No
Rosegarden,No,Yes,No,No,Yes,No,Yes,No,No,No,No
Samplitude,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
Sound Forge,No,No,Yes,Unknown,No,No,No,No,Yes,Yes,No
Soundbooth,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Soundscape 32,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
SoX,No,No,No,No,Yes,No,No,No,No,No,No
SpectraLayers,No,No,Yes,Unknown,No,No,No,No,No,No,No
Studio One (software),Yes,No,Yes,Yes,No,No,No,No,Yes,No,No
Sweep (software),No,No,No,No,Yes,No,No,No,No,No,No
Total Recorder,No,No,No,No,No,No,No,No,No,No,No
Tracktion,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Traverso DAW,No,Yes,No,Unknown,No,Yes,No,No,No,No,No
WaveLab,No,No,Yes,Yes,No,No,No,No,No,No,No
WavePad Audio Editor Software,No,No,Yes,No,No,No,No,No,No,Yes,No
WaveSurfer,No,No,No,No,No,No,No,No,No,No,No
