Format,Languages,If not found
" InStrRev(« startpos ,»  string , substring ) ",Visual Basic,returns 0
" instrrev(« startpos ,»  string , substring ) ",FreeBASIC,returns 0
" rindex( string , substring «, startpos ») ",Perl 5,returns −1
" rindex( string , substring «, startpos »)    string .rindex( substring «, startpos ») ",Raku (programming language),returns Nil
" strrpos( string , substring «, startpos ») ",PHP,returns FALSE
"  string .rfind( substring «, startpos ») ",C++ (STL),returns std::string::npos
" std.string.rfind( string ,  substring ) ",D (programming language),returns −1
"  string .rfind( substring «, startpos «,  endpos »») ",Python (programming language),returns −1
"  string .rindex( substring «, startpos «,  endpos »») ",,raises ValueError
" rpos( string ,  substring «, startpos ») ",Seed7,returns 0
"  string .rindex( substring «, startpos ») ",Ruby (programming language),returns nil
" strings.LastIndex( string ,  substring ) ",Go (programming language),returns −1
"  string .lastIndexOf( substring «, startpos ») "," Java (programming language), Java (programming language) ",returns −1
"  string .LastIndexOf( substring «, startpos «,  charcount »») "," Visual Basic .NET, Visual Basic .NET, Visual Basic .NET, Visual Basic .NET ",returns −1
(search  substring   string  :from-end t),Common Lisp,returns NIL
[ string  rangeOfString: substring  options:NSBackwardsSearch].location,Objective-C (NSString * only),returns NSNotFound
Str.search_backward (Str.regexp_string  substring )  string  (Str.length  string  - 1),OCaml,raises Not_found
" string.match( string , '.*()'.. substring )    string :match('.*()'.. substring ) ",Lua (programming language),returns nil
" Ada.Strings.Unbounded.Index(Source =>  string , Pattern =>  substring ,   Going => Ada.Strings.Backward) ",Ada (programming language),returns 0
"  string .lastIndexOf( substring «, startpos «,  charcount »») ",Cobra (programming language),returns −1
string  lastIndexOfString: substring,Smalltalk,returns 0
string last  substring string startpos,Tcl,returns −1
(⌽<\⌽ substring ⍷'string')⍳1,APL (programming language),returns −1
string .rfind( substring ),Rust (programming language)Rust (programming language),returns Option type
