Integrated development environment,Software developer,Software license,Microsoft Windows,Linux,MacOS,Platform (computing),Debugger,GUI builder
Dolphin Smalltalk,Object Arts,MIT License,Yes,No,No,No,Yes,Yes
Pharo,INRIA,MIT License,Yes,Yes,Yes,various,Yes,Yes
Squeak,squeak.org,MIT License,Yes,Yes,Yes,various,Yes,Yes
VisualAge,Instantiations (company) (page does not exist),Proprietary software,Yes,Yes,Yes,various,Yes,Yes
VisualWorks,Cincom,Proprietary software,Yes,Yes,Yes,various,Yes,Yes
