John McCain,,Barack Obama,
" McCain supports the use of School vouchers.School vouchers In 2006 he said, ""Should School vouchers be taught as a science class? Probably not.""School vouchers On July 29, 2007, McCain voted against increasing federal student loans and Pell grants and expanding eligibility for financial aid.School vouchersSchool vouchers ",," During an October 2004 debate, Obama stated that he opposed Education voucher for use at private schools because he believes they would undermine public schools.Education voucherEducation voucher ",
Chuck Baldwin,Bob Barr,Cynthia McKinney,Ralph Nader
Baldwin would support homeschoolers and disband the United States Department of Education.United States Department of Education," Would abolish the United States Department of Education and eliminate federal grants and regulation; also opposes United States Department of Education. Believes that education should return to the local level. Supports state-level tax credits to parents who use private education or homeschool. ""Ultimately, education will best serve the children of America if it occurs within a competitive private system rather than a government system.""United States Department of Education "," Has often stated that it is wrong Education in the United States receives $38 billion annually while Education in the United States receives $700 billion annually. She also believes reforms like Education in the United States hurt the education system, and that free higher education and better Education in the United States is what will improve school systems throughout the nation. She also voted yes on a substitute bill to lower Education in the United States Education in the United States rates and increase Education in the United States and Hispanic college quality and quantity. She voted yes on a bill for state-testing and voted no on bills to allow vouchers in the District of Columbia, allowing vouchers in private schools and Education in the United States, and no on a bill that would only give federal aid to schools that allowed Education in the United States.Education in the United States ",
