Name,License,Deployment,Platforms
NetTransformer,GPL,Desktop,Windows/Linux/macOS
OpenNMS,AGPLv3,Desktop," Linux, macOS, others "
SolarWinds,Proprietary,Desktop,Windows
PathSolutions,Proprietary,Desktop,Windows
Spiceworks,Proprietary,Desktop,Windows
Auvik (page does not exist),Proprietary,Desktop," Linux, Windows "
