Audio compression format,Algorithm,Sampling frequency,Bit rate,Latency (audio),Constant bit rate,Variable bit rate,Stereophonic sound,Surround sound
Advanced Audio Coding," Modified discrete cosine transform, Hybrid Modified discrete cosine transform (AAC-HE) ",8–192 kHz[50],8–529 kbit/s (stereo),20–405 ms[51],Yes,Yes," Yes: Dual, Mid/Side, Stereophonic sound, Parametric ",Yes: Up to 48 channels
A/52,Modified discrete cosine transform," 32, 44.1, 48 kHz ",32–640 kbit/s,40.6 ms,Yes,No,Yes,Yes: Up to 6 channels
Multi-Band Excitation,?,8 kHz," 2, 9.6 kbit/s ",?,?,?,?,?
Adaptive multi-rate compression,ACELP,8 kHz," 4.75, 5.15, 5.90, 6.70, 7.40, 7.95, 10.20, 12.20 kbit/s ",25 ms,Yes,Yes,No,No
AMR-WB (G.722.2),ACELP,16 kHz," 6.60, 8.85, 12.65, 14.25, 15.85, 18.25, 19.85, 23.05, 23.85 kbit/s ",25 ms,Yes,Yes,Yes: only in MPEG-4 Part 12 MPEG-4 Part 12,No
AMR-WB+,ACELP," 8, 11.025, 16, 22.05, 32, 44.1, 48 kHz ",6–36 kbit/s (mono) 7–48 kbit/s (stereo),60–90 ms,Yes,Yes,Yes,No
AptX,Sub-band coding Sub-band coding,24–48 kHz (stereo),192–384 kbit/s (stereo),2 ms,Yes (4:1),No,Yes,Yes: Up to 8 channels
Adaptive Transform Acoustic Coding,Modified discrete cosine transform-Hybrid Modified discrete cosine transform,44.1 kHz,292 kbit/s,>100 ms,Yes,No,Yes: Dual Only,No
Adaptive Transform Acoustic Coding,Modified discrete cosine transform-Hybrid Modified discrete cosine transform,44.1 kHz," 66, 105, 132, 146, 176, 264, 352 kbit/s ",>100 ms,Yes,No," Yes: Dual (LP2), Mid/Side (LP4) ",No
Adaptive Transform Acoustic Coding,Modified discrete cosine transform-Hybrid Modified discrete cosine transform,44.1 kHz,48–352 kbit/s,>100 ms,Yes,?,Yes,Yes: Up to 6 channels
" Broadcom (BV16, BV32) ",Two-Stage Noise Feedback Coding (TSNFC)," 8, 16 kHz "," 16, 32 kbit/s[52] ",5 ms,Yes,No,No,No
Codec2,Speech encoding,8 kHz," 0.7, 1.2, 1.3, 1.4, 1.6, 2.4, 3.2 kbit/s ",20–40 ms,Yes,No,No,No
E-AC3,Modified discrete cosine transform," 32, 44.1, 48 kHz ",32–6144 kbit/s,?,Yes,?,Yes,Yes: Up to 15 channels
AptX,Sub-band coding Sub-band coding,15–48 kHz," 60, 384, 767, 1024 kbit/s, 1.28 Mbit/s ",?,Yes (4:1),No,Yes,Yes: Up to 8 channels
Half Rate,Vector sum excited linear prediction,8 kHz,5.6 kbit/s,25 ms,Yes,No,No,No
GSM-FR,Long Term Prediction,8 kHz,13 kbit/s,20–30 ms,Yes,No,No,No
GSM-EFR,ACELP,8 kHz,12.2 kbit/s,20–30 ms,Yes,No,No,No
HE-AAC,?,22 ~ 96 kHz,16 ~ 80 kbit/s,?,Yes,Yes," Yes: Dual, Mid/Side, Stereophonic sound, Parametric ",Yes: Up to 48 channels
HVXC,Speech encoding,8 kHz," 2, 4 kbit/s ",36 ms,Yes,Yes,No,No
ILBC,Linear predictive coding,8 kHz," 13.33, 15.20 kbit/s "," 25, 40 ms ",Yes,No,No,No
Internet Speech Audio Codec,Transform coding," 16, 32 kHz ",10–52 kbit/s," 33, 63 ms ",Yes,Yes,No,No
" MPEG-1 Audio Layer 3 (MPEG-1, 2, 2.5 Audio Layer III) "," Modified discrete cosine transform, Hybrid Modified discrete cosine transform "," 8, 11.025, 12, 16, 22.05, 24, 32, 44.1, 48 kHz "," 8, 16, 24, 32, 40, 48, 56, 64, 80, 96, 112, 128, 144, 160, 192, 224, 256, 288, 320 kbit/s ",>100 ms,Yes,Yes," Yes: Dual, Mid/Side, Stereophonic sound ",No
MPEG-1 Audio Layer II (MP2),Sub-band coding," 32, 44.1, 48 kHz "," 32, 48, 56, 64, 80, 96, 112, 128, 160, 192, 224, 256, 320, 384 kbit/s ",,Yes,Yes: but decoders are not required to support it," Yes: Dual, Stereophonic sound ",No
MPEG-2 Audio Layer II (MP2),Sub-band coding," 16, 22.05, 24 kHz[53][54] "," 8, 16, 24, 32, 40, 48, 56, 64, 80, 96, 112, 128, 144, 160 kbit/s[53] ",,Yes,Yes: but decoders are not required to support it,Yes,Yes: up to 5 full range audio channels and an LFE-channel with MPEG Multichannel
Musepack,Sub-band coding," 32, 37.8, 44.1, 48 kHz ",20–350 kbit/s,?,No,Yes,Yes,Yes: Up to 8 channels
Opus (codec)," Linear prediction, Linear prediction ",8–48 kHz,6–510 kbit/s,5–66.5 ms,Yes,Yes,Yes,Yes: Up to 255 channels[55]
RealAudio,Modified discrete cosine transform,Varies (see RealAudio),Varies (see RealAudio),Varies,Yes,Yes,Yes,Yes: Up to 6 channels
SILK,Long Term Prediction," 8, 12, 16, 24 kHz ",6–40 kbit/s,25 ms,Yes,?,?,?
Siren Codec 7," Derived from PT716plus, MLT ",16 kHz," 16, 24, 32 kbit/s ",40 ms,Yes,No,No,No
Siren Codec 14,MLT,32 kHz," 24, 32, 48 kbit/s (mono) 48, 64, 96 kbit/s (stereo) ",40 ms,Yes,No,Yes,No
Siren Codec 22,MLT,48 kHz," 32, 48, 64 kbit/s (mono) 64, 96, 128 kbit/s (stereo) ",40 ms,Yes,No,Yes,No
Speex,Code-excited linear prediction," 8, 16, 32, (48) kHz ",2.15–24.6 kbit/s (Narrowband) 4–44.2 kbit/s (Narrowband),30 ms (NB) 34 ms (WB),Yes,Yes,Yes: Stereophonic sound,Yes
