Object orientation,Java,C#
Class (computer science),mandatory,mandatory
Interface (object-oriented programming),Yes,Yes
Class (computer science),Yes,Yes
Member accessibility levels," Yes; public, package, protected, private"," Yes; public, internal, protected, private, protected internal "
Class-level Class (computer science),Yes;static inner classes are class level,Yes; all inner classes are class level
Instance-level inner classes,Yes,No
Statement-level (local) Class (computer science),Yes,Yes; but without methods
Partial class,No; Third-party library[46],Yes
Implicit (inferred) anonymous classes,No,Yes[47]
Deprecation/obsolescence,Yes,Yes
Overload versioning,Some,Yes
Enumerated type can implement Enumerated type,Yes,No
Property (programming)," No, but see JavaBeans spec",Yes
Event (computing),Provided by standard libraries,Built-in language feature
Operator overloading,No,Yes
Indexers,No,Yes
Implicit conversions,No; but see autoboxing,Yes
Explicit conversions,Yes,Yes
