Name,Current Stable Version,Computer languages,SQL support,Datatypes,Software license,Description
Caché (software),2017.2.1," Caché ObjectScript (dynamic language), Basic. Java/.NET object mapping supported. "," SQL subset. Object notation allowed. Supports embedded SQL, dynamic SQL and xDBC access. ",,Proprietary software," MUMPS ancestry. Includes built-in support for XML, Web/AJAX and an EMB system called Ensemble. Supports embedded, client/server and distributed implementations. "
ConceptBase,8.1.13 (2019-12-09),Telos (computer science) (page does not exist),CBQL (based on Datalog),no types but classes," open source, FreeBSD-style license "," historical db, active rules, meta-modeling, deductive rules "
Db4o,8.0 (2011-03-09)," C Sharp (programming language), C Sharp (programming language) ",db4o-sql,.NET and Java data types," GPL, custom,GPL GPL "," Native Queries, LINQ support, automatic schema evolution, Transparent Activation/Persistence, replication to RDBMS, Object Manager plugin for Visual Studio and Eclipse "
Gemstone (database),3.2.2,Smalltalk,None,Objects and code," Proprietary software, free version available "," Persistent, transactional, multi-user Smalltalk developed by GemTalk Systems (page does not exist). "
ObjectDatabase++,4.4 (2015-07-03)," C++, TScript ",,,Proprietary software,Embedded
ObjectDB,2.4.6,Java," None, uses Java Persistence API or Java Persistence API ",,Proprietary software,
Objectivity/DB,10.2.1," C++, C++, C++, C++, C++ and C++ ",SQL superset,,Proprietary software," Distributed, Parallel Query Engine "
Objectstore,7.2 (July 2011)," C++, C++, interoperable with .NET ",SQL subset (also has own object query language),,Proprietary software," Embedded database supporting efficient, distributed management of C++ and Java objects. Avoids the complexities and limitations of ORM products such as Hibernate by storing objects directly with their relationships intact. Uses a page-based mapping system for fast locking and efficient, distributed, client-side caching. "
ODABA,12.3.0 (August 2013)," C++, .NET "," SQL subset, DQL "," Basic Types, Classes, Multiple inheritance, Weak Typed ",GNU GPL,Terminology-oriented database
OpenAccess,2.2,C++,no,,Proprietary software,EDA database
Virtuoso Universal Server,7.2.5.1," C++, C++, ASP, C++, Mono, C++, C++, C++, C++, Perl, C++, C++, C++, C++, ODBC, JDBC, ADO.NET, more ",SQL 9x/200x,,GNU GPL or proprietary,
Perst,Java: 4.38 (2015-03-18) C#: 4.46 (2014-08-23)," Java (programming language) (including Java (programming language), Java (programming language) &amp; Java (programming language)), Java (programming language) (including Java (programming language), Java (programming language), Java (programming language) &amp; Java (programming language)) ",JSQL - object-oriented subset of SQL,Java and .NET data types," GPL, Proprietary "," Small footprint Embedded database. Diverse Embedded database and specialized Embedded database; Embedded database; replication; Embedded database; native Embedded database; includes Silverlight, Android and Java ME demo apps. "
Picolisp,3.1.1,Picolisp,,,MIT License,DB built into the language
Versant Object Database,9.1 / 3.0 / 12.0 (2015-10-21),C++ / C++ / C++,OQL (ODMG 3.0),,Proprietary software,
Wakanda (software),4," JavaScript, JavaScript ",No support. REST and SSJS can be used instead.,JavaScript and JavaScript data types," Affero General Public License, proprietaryAffero General Public License ",NoSQL REST / Server-Side JavaScript engine. Integrates Webkit JavaScriptCore engine with HTML5 JS APIs supported on the server. Tables and columns are replaced by JavaScript DataClasses and attributes.
Zope Object Database,," Python (programming language), C ",No support. Object indexing and searching is done through ZCatalog facility.,,Zope Public License,
