,Version,Operating systems,Office suite,Developer,Software license,ECMA-376,ISO/IEC 29500:2008,Notes
DataViz DataViz,11.000[12]," Palm OS, Palm OS, Palm OS (Palm OS, Palm OS) ",Documents To Go,DataViz,Proprietary software,Yes,,
EIOffice Spreadsheet," 2009, 5.0.1272.101[13] "," Microsoft Windows, Microsoft Windows ",EIOffice,Evermore Software (page does not exist),Proprietary software,Yes,,Import only[13]
Gnumeric,1.8[35]," Linux, Unix, Windows ",,GNOME,GPL,Yes,,Incomplete support
Go-oo Calc,3.0.0[14]," Windows, Linux, Unix, Mac OS X ",Go-oo,Free software community," LGPL, LGPL ",Yes,,Import only
Google Docs,(current)[15],Web application,Google Docs,Google,Proprietary software,Yes,,
IBM Lotus Symphony,1.3[16]," Windows, Mac OS X, Linux ",IBM Lotus Symphony,IBM,Proprietary software,Yes,,Import only
Kingsoft Office Spreadsheets," 2009,[22] 6.3.0.1733 ",Windows,Kingsoft Office,Kingsoft,Proprietary software,Yes,,Import only beta support
LibreOffice,All versions," Windows, OS X, Linux, Unix, Android ",,The Document Foundation,Mozilla Public License,Yes,Yes,
Microsoft Office Excel," 2013, Microsoft Office 2011 for Mac "," Windows, Mac OS X ",Microsoft Office,Microsoft,Proprietary software,Yes,Yes,
Microsoft Office Mobile Excel Mobile,6.1[23],Windows Mobile,Microsoft Office Mobile,Microsoft,Proprietary software,Yes,,
Microsoft Works Spreadsheet,9[24],Windows,Microsoft Works,Microsoft,Proprietary software,Yes,Yes,
NeoOffice Calc,2.2.5[36],Mac OS X,NeoOffice,Patrick Luby and Edward Peterlin,GPL,Yes,,
Numbers (software),'08[37],Mac OS X,IWork,Apple Inc.,Proprietary software,Yes,,
OnlyOffice,5.2[27],Web application,OnlyOffice,Ascensio System SIA," Proprietary software, Proprietary software ",Yes,,
OpenOffice.org Calc,3.0," Windows, Linux, Unix, Mac OS X ",OpenOffice.org,OpenOffice.org,LGPL,Yes,,Import only
Quattro Pro,X4 (2008)[34],Windows,WordPerfect Office,Corel,Proprietary software,Yes,,Import only
StarOffice Calc,9[30]," Windows, Linux, Solaris (operating system) ",StarOffice,Sun Microsystems,Proprietary software,Yes,,Import only[31]
Thinkfree Office Calc,[33]," Windows, Mac OS X, Linux ",Thinkfree Office,ThinkFree Corp,Proprietary software,Yes,,
,Version,Operating systems,Office suite,Developer,License,ECMA-376,ISO/IEC 29500:2008,Notes
