Model,Launch,Fab (nm),Computer bus Computer bus,Core clock (MHz),Memory clock (MHz),Hardware Transform and lighting,Core config1,Fillrate,,Memory,,,,Application programming interface compliance (version),,Notes
,,,,,,,,Pixel (Pixel/s),Texture (Texel (graphics)/s),Size (Megabyte),Bandwidth (Gigabyte/s),Bus type,Bus width (Bit),Direct3D,OpenGL,
Rage LT (Rage II),Nov 1996,500,PCI,60,66,No,0:1:1:1,0.06,0.06,4,0.53," EDO, SDR, SGR ",64,5,N/A,
Rage LT Pro (Rage Pro),Nov 1997,350," AGP, PCI ",75,100,,,0.075,0.075,8,0.80,,,6,1.1,Motion Compensation
Rage Mobility M/P (Rage 128),Nov 1998,250,,90,Unknown,,0:2:2:2,0.18,0.18,,Unknown," SDR, SGR ",,Unknown,Unknown," M had 4 MB of integrated SDRAM, P had none. IDCT, Motion Compensation. "
Rage Mobility M1 (Rage 128),Feb 1999,,,90,90,,,,,,0.72,SDR,,6,1.2," M1 had 8 MB of integrated SDRAM, P had none. IDCT, Motion Compensation. "
Rage 128 GL,Aug 1998,,,103,103,,,0.206,0.206,32,1.65,,,,,128,
Rage Mobility 128 (Rage 128 Pro),Oct 1999,,,105,105,,,0.21,0.21,16,2.28,,,,,," IDCT, Motion Compensation "
Rage Mobility M3 (AGP 4x) (Rage 128 Pro),,,,,,,,,,,2.28,,,,,," M3 had 8 MB of integrated SDRAM, IDCT, Motion Compensation. "
Rage Mobility M4 (AGP 4x) (Rage 128 Pro),,,,,,,,,,32,2.28,,,,,," M4 had 16 MB of integrated SDRAM, IDCT, Motion Compensation. "
