Language,Major purpose,Based on,Markup type,Structural markup,Presentational markup[4]
AsciiDoc,Multi-purpose,,Tag,Yes,Yes
Computable Document Format," Interactive technical documents, infographics, blogs[5] ",Wolfram Language,Tag,Yes,Yes
Darwin Information Typing Architecture,Technical documents,XML,Tag,Yes,Yes[6]
DocBook,Technical documents,Standard Generalized Markup Language / Standard Generalized Markup Language,Tag,Yes,Yes[7]
Encoded Archival Description,Finding aid,XML,Tag,Yes,No
XHTML,Hypertext documents,XML,Tag,Yes,Yes[8]
FB2,Multi-purpose,XML,Tag,Yes,Yes
HTML,Hypertext documents,Standard Generalized Markup Language,Tag,Yes,Yes[9]
Lilypond,Music notation,,Control code,Yes,Yes
Maker Interchange Format,Technical documents,,Tag,Yes,Yes
Markdown," Formatted Technical documents, Hypertext documents, Hypertext ",Text E-mail conventions,Tag,Yes,Yes
MathML,Mathematics documents,XML,Tag,Yes,Yes[10]
Music Encoding Initiative,Music notation,XML,Tag,Yes,Yes
MusicXML,Music notation,XML,Tag,Yes,Yes
Office Open XML,Multi-purpose,XML / XML,Tag,Yes,Yes
OpenDocument,Multi-purpose,XML / XML,Tag,Yes,Yes
OMDoc,Mathematics documents,XML,Tag,Yes[11],Yes[12]
Org-mode," Multi-purpose (notes, project management, publishing, literate programming) ",Text outliner,Tag,Yes,Yes
ReStructuredText,Technical and Multi-purpose documents[13],Structured Text and Setext,Tag,Yes,Yes[14]
Rich Text Format,Formatted documents,TeX,Pattern parsing,Yes,Yes
Scalable Vector Graphics,2D Vector graphics,XML,Tag,Yes,Yes
SCRIPT (markup) SCRIPT (markup),Multi-purpose,RUNOFF,Control code,Yes,Yes
TeX TeX,Academia documents Multi-purposeAcademia,,Control code,Yes,Yes
Texinfo,Technical documents," TeX, TeX ",Control code,Yes,Yes
TeXmacs,Academic documents,Tree (data structure),Tag,Yes,Yes
Textile (markup language),Hypertext documents,AsciiDoc (based on some similarities and dates of release),Tag,Yes,Yes
Text Encoding Initiative," Academia, Academia, Academia and technical documents ",Standard Generalized Markup Language / Standard Generalized Markup Language,Tag,Yes,No
" Troff, Troff ",Technical documents,RUNOFF,Control code,Yes,Yes
Wireless Markup Language,Hypertext documents,XML,Tag,Yes,Yes
Language,Major purpose,Based on,Markup type,Structural markup,Presentational markup
