Family number,,Codename
Decimal,Hexadecimal (h),
05,05h,AMD K6
06,06h,AMD K7
15,0Fh,AMD K8
16,10h,AMD 10h
17,11h,AMD 10h
18,12h,AMD Accelerated Processing Unit / AMD Accelerated Processing Unit[ AMD Accelerated Processing Unit ]  (ARM based[ AMD Accelerated Processing Unit ] AMD cpu)
20,14h,Bobcat (microarchitecture)
21,15h,Bulldozer (microarchitecture) / Bulldozer (microarchitecture) / Bulldozer (microarchitecture) / Bulldozer (microarchitecture)
22,16h,Jaguar (microarchitecture) / Jaguar (microarchitecture)
23,17h,Zen (microarchitecture) / Zen (microarchitecture) / Zen (microarchitecture)
24,18h,Hygon Dhyana
25,19h,Zen 3
