Name,Creator,Host CPU,Guest CPU,Host OS,Guest OS,License
Bhyve,FreeBSD,x86-64," X86, x86-64 "," FreeBSD, FreeBSD "," FreeBSD, FreeBSD, FreeBSD, FreeBSD, FreeBSD, FreeBSD, FreeBSDFreeBSD ",BSD licenses
Bochs,Kevin J. Lawton,Any," X86, x86-64 "," Windows, Windows, Windows, Windows/Windows, Windows, Windows, Windows, Windows, WindowsWindowsWindows "," Windows, Windows, Windows, Windows, Windows, Windows ",LGPL
Solaris Containers,Sun Microsystems," x86, x86-64, SPARC (portable: not tied to hardware) ",Same as host," Solaris (operating system), Solaris (operating system) 2009.06, Solaris (operating system) "," Solaris (8, 9, 10, 11), Illumos, Linux (Illumos) ",CDDL
Cooperative Linux (coLinux)," Dan Aloni, other developers ",x86,Same as host," Windows 2000, XP, 2003, Vista ",Linux,Gpl version 2
Charon (software),Stromasys (page does not exist)," x86, x86-64 "," PDP-11, PDP-11, Alpha, PDP-11, Sparc "," Windows, Linux "," VMS, OpenVMS, Tru64 UNIX, MPE/iX, RSX-11, RT11, RSTS, Solaris, SunOS ",Proprietary software
Denali (operating system),University of Washington,x86,x86,Denali," Ilwaco (operating system) (page does not exist), NetBSD ",Not distributed
DOSBox," Peter Veenstra, Sjoerd with community ",Any,x86," Linux, Windows, Classic Mac OS, macOS, BeOS, FreeBSD, NetBSD, OpenBSD, Solaris, Classic Mac OS, IRIX, MorphOS, AmigaOS, Classic Mac OS, Symbian "," Internally emulated DOS shell; classic PC booter games, unofficially Windows 1.0 to 98 ",GPL
Dosemu,Community project," x86, x86-64 ",x86,Linux,DOS,Gpl version 2
FreeBSD Jail,Poul-Henning Kamp / Poul-Henning Kamp,Any running FreeBSD or FreeBSD,Same as host," FreeBSD, FreeBSD "," same as host (shared *BSD kernel), plus Linux Linux through Linux ",BSD licenses
GNOME Boxes,GNOME,,,Unix-like,Unix-like,GNU Lesser General Public License
