,Toolkits or SDKs,Private messages,Private chat,Public chat,Message board,Encryption,File transfer,Unicode (UTF-8),Message filtration,Graphical Smiley,Message logging,Whiteboard,Terminal Service Compatibility,User base in Active Directory,Serverless (No server required)
BeeBEEP,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
BORGChat,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes
Briar (software),No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes
IChat IChat,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No
iptux,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes
Miranda IM,?,Yes,?,?,?,?,Yes,Yes,?,Yes,Yes,?,?,?,Yes
MyChat,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,No
Tox (protocol),No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes
