Software,Faceted classification,Restricted facets,Mandatory facets,Predefined tags,Related/synonym tags,Notes
Connectbeam,No,No,No,No,No,none
IBM Lotus Connections,No,No,No,No,No,none
Jumper 2.0,Yes,Yes,Yes,Yes,No,none
Knowledge Plaza,Yes,Yes,Yes,Yes,Yes,none
Scuttle (software),No,No,No,No,No,none
