Client,Creator,First public release date,Latest stable version,Software license,Copy files over 2 GB[1]
ALFTP,ESTsoft,2000," 5.31 February 1, 2012; 8 years ago (2012-02-01) ",Proprietary software,?
ExpanDrive (Mac)," ExpanDrive, Inc ",2008,"   macOS: 7.4.10 (January 30, 2020; 7 months ago (2020-01-30)[7]) [±] Windows: 7.4.10 (January 30, 2020; 7 months ago (2020-01-30)[8]) [±] Linux: 7.4.10 (January 30, 2020; 7 months ago (2020-01-30)[9]) [±]  ",Proprietary software,Yes
ExpanDrive (Windows) (formerly SFTPDrive)," ExpanDrive, Inc ",2005,"   macOS: 7.4.10 (January 30, 2020; 7 months ago (2020-01-30)[10]) [±] Windows: 7.4.10 (January 30, 2020; 7 months ago (2020-01-30)[11]) [±] Linux: 7.4.10 (January 30, 2020; 7 months ago (2020-01-30)[12]) [±]  ",Proprietary software,Yes
ForkLift (File Manager)," BinaryNights, LLC ",2007," 3.4.2 August 26, 2020; 15 days ago (2020-08-26) ",Proprietary software,Yes
FTP Commander,Internetsoft Corporation,1997," 9.21 November 8, 2010; 9 years ago (2010-11-08) ",Proprietary software,Yes
FTP Explorer,FTPx Corp.," October, 1996 ",1.0.1.53; January 2012,Proprietary software,?
Interarchy,Nolobe Software Pty Ltd,1993 (as Anarchie)," 10.0.6 August 18, 2014; 6 years ago (2014-08-18) ",Proprietary software,Yes
Steed (FTP client)," French Fry, SAS ",2012," 1.2.1.1169 June 27, 2017; 3 years ago (2017-06-27) ",Proprietary software,Yes
Transmit (FTP client),Panic (company),1998," 5.6.4 April 20, 2020; 4 months ago (2020-04-20) ",Proprietary software,Yes
WISE-FTP,AceBIT,1998," 7.0 (Build 7.0.4) March 16, 2012; 8 years ago (2012-03-16) ",Proprietary software,?
EdtFTPj,Bruce P. Blackshaw,2000," 2.3.0 August 26, 2011; 9 years ago (2011-08-26) ",Proprietary software,Yes,Java (software platform) Java (software platform)
EdtFTPnet,Bruce P. Blackshaw,2003," 2.2.1 August 26, 2011; 9 years ago (2011-08-26) ",Proprietary software,Yes,Microsoft Windows Microsoft Windows
