English,Malay,Indonesian
Bell,Loceng,Lonceng
Bridge,Jambatan,Jembatan
" broken, damaged ",Rosak,Rusak
Business,Bisnes,Bisnis
Bus,Bas,Bus
civil,Sivil,Sipil
concert,konsert,konser
wikt:different,Beza,Beda
meaning,Erti,Arti
" namely, e.g. ",Iaitu,Yaitu
official (adj.),Rasmi,Resmi
official position,Jawatan,Jabatan
Prototype,prototaip,prototipe
scheme,skim,skema
Sputum,Kahak,Dahak
taxi,Teksi,Taksi
thin,Nipis,Tipis
" truck, lorry ",Trak,Truk
