,,Trident (layout engine),EdgeHTML,Gecko (layout engine),WebKit,Blink (web engine),KHTMLKHTML,Presto (layout engine)
GIF 87a,Interlacing,3.0,Yes,1.0,85,Yes,Yes,1.0
GIF 89a,Binary transparency,,,,,,,
,Animation,,,,,,,
