Country,Spaceplane,First flight mission,Year,Program status
//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,HOPE-X,HYFLEX,1996,Cancelled
//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,Various,Shenlong (spacecraft),2007,Under development
//upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png India,RLV Technology Demonstration Programme,Hypersonic Flight Experiment,2016,Under development
,AVATAR (spacecraft),,,Under development
