Model,Launch,Fab (Nanometre),Computer bus Computer bus,Memory,,
,,,,Size (Kibibyte),Bus type,Bus width (Bit)
Wonder MDA/CGA,1986,1000,PC/XT,64,DRAM,8
Wonder EGA,1987,,PC/XT,256,,
Wonder VGA,1987," 1000, 800 "," PC/XT, ISA "," 256, 512 1024 ",," 8, 16 "
