,Trident (layout engine),Gecko (layout engine),WebKit,KHTML,Presto (layout engine),Prince XML,Antenna House Formatter
XML namespaceXML namespace,5.0,1.0,?,Yes,1.0,5.1,Yes
xml:id[spec 2],No,No[g 1],No,No,2.0,,Yes
XML EventsXML Events,No,1.8,?,?,1.0,?,No
XIncludeXInclude,3.1,No[g 2],No,?,No,5.1,No
XML Fragment Interchange[spec 5],?,?,?,?,?,?,No
Associating Cascading Style Sheets,<3.1[IE 5.0],1.0,419,Yes,1.0,Yes,Yes
