Licence and version,Free Software Foundation approval Free Software Foundation,GPL compatibility GPL compatibilityGPL compatibilityGPL compatibilityGPL compatibilityGPL compatibility,Open Source Initiative approval Open Source Initiative,Debian Project approval Debian ProjectDebian Project,Fedora Project approval Fedora Project
Academic Free License,Yes,No,Yes,No,Yes
Affero General Public License 3.0,Yes,Yes,Yes,Yes,Yes
Apache License 1.x,Yes,No,Yes,Yes,Yes
Apache License 2.0,Yes,GPLv3 only[45],Yes,Yes,Yes
Apple Public Source License 1.x,No[46],No,Yes,No,No
Apple Public Source License 2.0,Yes,No,Yes,No,Yes
Artistic License 1.0,No[note 1],No,Yes,Yes,No
Artistic License 2.0,Yes,Yes,Yes,Yes,Yes
Beerware," see ""informal licence"" section[47]"," see ""informal license"" section[47]",No,No,Yes[48]
BSD licenses,Yes,No,Yes[49],Yes,Yes
BSD licenses,Yes,Yes,Yes,Yes,Yes
BSD licenses,?,?,Yes[50],?,?
Boost Software License,Yes,Yes,Yes,Yes,Yes
CeCILL,Yes,Yes,Yes,Yes,Yes
Common Development and Distribution License,Yes,GPLv3 (GPLv2 disputed)[51][52][53][54][55][56],Yes,Yes,Yes
Common Public License,Yes,No,Yes,Yes,Yes
Creative Commons Zero,Yes[57],Yes[57],No[58],Partial[59][60],Yes[61]
CC BY-SA,Yes,GPLv3[62],?,Yes,?
Cryptix General License,Yes,Yes,Yes,Yes,Yes
Eclipse Public License,Yes,No,Yes,Yes,Yes
Educational Community License,Yes,Yes[63],Yes,No,Yes
Eiffel Forum License 2,Yes,Yes,Yes,Yes,Yes
European Union Public Licence,Yes,Yes[21],Yes,Yes,?
GNU Affero General Public License,Yes,Yes[24][64],Yes,Yes,Yes
GNU General Public License v2,Yes,No[note 2][65],Yes,Yes,Yes
GNU General Public License v3,Yes,Yes[note 3][65],Yes,Yes,Yes
GNU Lesser General Public License,Yes,Yes,Yes,Yes,Yes
GNU Free Documentation License,Yes,No[66],Yes[67],No[68],No
IBM Public License,Yes,No,Yes,Yes,Yes
Intel Open Source License,Yes,Yes,Yes,No,No
ISC license,Yes[69],Yes,Yes,Yes,Yes
LaTeX Project Public License,Yes,No,Yes,Yes,Yes
Microsoft Public License,Yes,No,Yes,No,Yes
Microsoft Reciprocal License,Yes,No,Yes,No,Yes
MIT License,Yes,Yes,Yes,Yes,Yes
Mozilla Public License 1.1,Yes,No,Yes,Yes,Yes
Mozilla Public License 2.0,Yes,Yes[note 4][70],Yes,Yes,Yes
NASA Open Source Agreement,No,No,Yes,?,No
Netscape Public License,Yes,No,No,No,Yes
Open Software License,Yes,No,Yes,No,Yes
OpenSSL license,Yes,No,No,Yes,Yes
PHP License,Yes,No,Yes,Yes,Yes
Python Software Foundation License 2.0.1; 2.1.1 and newer,Yes,Yes,Yes,Yes,Yes
Q Public License,Yes,No,Yes,No,Yes
Reciprocal Public License 1.5,No,No,Yes,No,No
Sleepycat License,Yes,Yes,Yes,Yes,Yes
Sun Industry Standards Source License,Yes,No,Yes,No,Yes
Sun Public License,Yes,No,Yes,No,Yes
Sybase Open Watcom Public License,No,No,Yes,No,No
Unlicense,Yes[71],Yes[57],Yes[72],?,Yes[61]
W3C Software Notice and License,Yes,Yes,Yes,Yes,Yes
WTFPL (WTFPL),Yes[note 5],Yes,No[73],Yes,Yes
XFree86,Yes,Yes[74],No,No,No
Zlib/libpng license,Yes,Yes,Yes,Yes,Yes
Zope Public License 1.0,Yes,No,No,No,Yes
Zope Public License 2.0,Yes,Yes,Yes,No,Yes
