Model (Codename),Release Date &amp; Price,Microarchitecture (Microarchitecture),Transistors Die Size,Core,,FillrateFillrateFillrateFillrate,,Processing powerGFLOPSGFLOPS (GFLOPS),,Memory,,,,Typical board power),Bus interface
,,,,Config[e],ClockHertz (Hertz),Texture (Texel (graphics)/s),Pixel (Pixel/s),Single precision floating-point format,Double precision floating-point format,Bus type &amp; width,Size (Mebibyte),Clock (Transfer (computing)),Band- width (Gigabyte/s),,
Radeon R5 330 (Oland Pro),May 2015 OEM,Graphics Core Next (28 nm),1040×106 90 mm2,320:20:8,Unknown  855,17.1,6.84,547.2,34.2,DDR3 128-bit,1024 2048,1800,28.8,30,PCIe 3.0 ×16
Radeon R5 340 (Oland XT),May 2015 OEM,,,384:24:8,Unknown  825,19.8,6.6,633.6,39.6,DDR3 GDDR5 128-bit,1024 2048,1800 4500,72,75,
Radeon R7 340 (Oland XT),May 2015 OEM,,,384:24:8,730  780,17.5  18.7,5.8  6.2,560.6  599,32.7  35,DDR3 GDDR5 128-bit,1024 2048 4096,1800 4500,72,75,
Radeon R5 340X[50] (Oland XT),May 2015 OEM,,,384:24:8,1050,25.2,8.4,806,50.4,DDR3 128-bit,2048,2000,32,30,
Radeon R7 350 (Oland XT),May 2015 OEM,,,384:24:8,1000  1050,24  25.2,8  8.4,768  806.4,48  50.4,DDR3 GDDR5 128-bit,1024 2048,1800 4500,72,75,
Radeon R7 350 [51] (Cape Verde XTL),February 2016 $89 USD,,1500×106 123 mm2,512:32:16,925,29.6,14.8,947.2,59.2,GDDR5 128-bit,2048,4500,72,75,
Radeon R7 350X[52] (Oland XT),May 2015 OEM,,1040×106 90 mm2,384:24:8,1050,25.2,8.4,806,50.4,DDR3 128-bit,4096,2000,32,30,
Radeon R7 360[53][54] (Bonaire Pro),June 2015 $109 USD,Graphics Core Next (28 nm),2080×106 160 mm2,768:48:16,1050,50.4,16.8,1612.8,100.8,GDDR5 128-bit,2048,6500,104,100,
Radeon R9 360 (Bonaire Pro),May 2015 OEM,,,768:48:16,1000  1050,48  50.4,16  16.8,1536  1612.8,96  100.8,GDDR5 128-bit,2048,6500,104,85,
Radeon R7 370[53] (Pitcairn Pro),June 2015 $149 USD,Graphics Core Next (28 nm),2800×106 212 mm2,1024:64:32,975,62.4,31.2,1996.8,124.8,GDDR5 256-bit,2048 4096,5600,179.2,110,
Radeon R9 370 (Pitcairn Pro),May 2015 OEM,,,1024:64:32,950  975,60.8  62.4,30.4  31.2,1945.6  1996.8,121.6  124.8,GDDR5 256-bit,2048 4096,5600,179.2,150,
Radeon R9 370X (Pitcairn XT),August 2015 $179 USD,,,1280:80:32,1000,80,32,2560,160,GDDR5 256-bit,2048 4096,5600,179.2,185,
Radeon R9 380 (Tonga Pro),May 2015 OEM,Graphics Core Next (28 nm),5000×106 359 mm2,1792:112:32,918,102.8,29.4,3290,206.6,GDDR5 256-bit,4096,5500,176,190,
Radeon R9 380[55] (Tonga Pro),June 2015 $199 USD,,,1792:112:32,970,108.6,31.0,3476.5,217.3,GDDR5 256-bit,2048 4096,5700,182.4[f],190,
Radeon R9 380X[55] (Tonga XT),November 2015 $229 USD,,,2048:128:32,970,124.2,31.0,3973.1,248.3,GDDR5 256-bit,4096,5700,182.4,190,
Radeon R9 390[55] (Grenada Pro),June 2015 $329 USD,Graphics Core Next (28 nm),6200×106 438 mm2,2560:160:64,1000,160,64,5120,640,GDDR5 512-bit,8192,6000,384,275,
Radeon R9 390X[55] (Grenada XT),June 2015 $429 USD,,,2816:176:64,1050,184.8,67.2,5913.6,739.2,GDDR5 512-bit,8192,6000,384,275,
Radeon R9 Fury[56] (Fiji Pro),July 2015 $549 USD,Graphics Core Next (28 nm),8900×106 596 mm2,3584:224:64,1000,224,64,7168,448,High Bandwidth Memory 4096-bit,4096,1000,512,275,
Radeon R9 Nano[57] (Fiji XT),August 2015 $649 USD,,,4096:256:64,1000,256,64,8192,512,,,,,175,
Radeon R9 Fury X[55][58] (Fiji XT),June 2015 $649 USD,,,4096:256:64,1050,268.8,67.2,8601.6,537.6,,,,,275,
Radeon Pro Duo[59][60][61][62] (Fiji XT),April 2016 $1499 USD,,2× 8900×106 2× 596 mm2,2× 4096:256:64,1000,512,128,16384,1024,High Bandwidth Memory 4096-bit,2× 4096,1000,2× 512,350,
Model (Codename),Release Date &amp; Price,Microarchitecture (Microarchitecture),Transistors Die Size,Config[e],ClockHertz (Hertz),Texture (Texel (graphics)/s),Pixel (Pixel/s),Single precision floating-point format,Double precision floating-point format,Bus type &amp; width,Size (Mebibyte),Clock (Transfer (computing)),Band- width (Gigabyte/s),Typical board power),Bus interface
Core,,,,,FillrateFillrateFillrateFillrate,,Processing powerGFLOPSGFLOPS (GFLOPS),,Memory,,,,,
